,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.01,0.99,0.8736208333333333,0.12637916666666665,,2.226745833333333,534419,185581,25,699.4129032258064,2.487209000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
1,,1,0.1,0.0,0.01,0.95,0.8632333333333333,0.13676666666666668,,2.2182208333333335,532373,187627,22,716.9209677419354,1.0677150000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
2,,1,0.1,0.0,0.01,0.9,0.7744791666666667,0.22552083333333334,,2.1138833333333333,507332,212668,23,707.1403225806451,1.0185089999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
3,,1,0.1,0.0,0.1,0.99,0.7852083333333333,0.21479166666666666,,2.20765,529836,190164,25,703.008064516129,1.1474609999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
4,,1,0.1,0.0,0.1,0.95,0.7634666666666666,0.23653333333333335,,2.2005291666666666,528127,191873,23,741.5258064516129,1.76434,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
5,,1,0.1,0.0,0.1,0.9,0.6912958333333333,0.30870416666666667,,2.1657083333333333,519770,200230,31,412.18225806451613,2.810559,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
6,,1,0.2,0.0,0.01,0.99,0.6660416666666666,0.33395833333333336,,2.0873083333333335,500954,219046,17,756.075806451613,0.9166019999999997,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
7,,1,0.2,0.0,0.01,0.95,0.8619541666666667,0.13804583333333334,,2.2106,530544,189456,22,745.6387096774193,1.020764,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
8,,1,0.2,0.0,0.01,0.9,0.8161875,0.1838125,,2.1521625,516519,203481,21,735.5483870967741,1.068484,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
9,,1,0.2,0.0,0.1,0.99,0.7877583333333333,0.21224166666666666,,2.1973125,527355,192645,27,456.88709677419354,3.3807039999999997,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
10,,1,0.2,0.0,0.1,0.95,0.7571041666666667,0.24289583333333334,,2.17165,521196,198804,30,447.69032258064516,4.099408999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
11,,1,0.2,0.0,0.1,0.9,0.6905041666666667,0.30949583333333336,,2.155925,517422,202578,27,449.02258064516127,5.471208999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
12,,1,0.3,0.0,0.01,0.99,0.870975,0.129025,,2.223720833333333,533693,186307,22,716.9709677419355,1.0845559999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
13,,1,0.3,0.0,0.01,0.95,0.843425,0.156575,,2.2070166666666666,529684,190316,21,716.3612903225807,1.1972250000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
14,,1,0.3,0.0,0.01,0.9,0.824225,0.175775,,2.175504166666667,522121,197879,22,722.7564516129032,0.9826269999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
15,,1,0.3,0.0,0.1,0.99,0.7854958333333333,0.21450416666666666,,2.206875,529650,190350,25,694.5774193548388,1.057541,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
16,,1,0.3,0.0,0.1,0.95,0.7528666666666667,0.24713333333333334,,2.181208333333333,523490,196510,25,681.5354838709677,1.8387390000000003,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
17,,1,0.3,0.0,0.1,0.9,0.7038291666666666,0.2961708333333333,,2.1806625,523359,196641,28,431.68548387096774,7.198340999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
18,,2,0.1,0.0,0.01,0.99,0.671025,0.328975,,2.0864666666666665,500752,219248,23,714.1193548387097,1.3661420000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
19,,2,0.1,0.0,0.01,0.95,0.7902625,0.2097375,,2.220483333333333,532916,187084,25,681.3838709677419,1.0141409999999995,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
20,,2,0.1,0.0,0.01,0.9,0.40892083333333334,0.5910791666666667,,1.9582458333333332,469979,250021,25,697.4741935483871,1.0880429999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
21,,2,0.1,0.0,0.1,0.99,0.7300375,0.2699625,,2.1722,521328,198672,24,697.3532258064516,1.2248339999999995,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
22,,2,0.1,0.0,0.1,0.95,0.6481583333333333,0.35184166666666666,,2.1268083333333334,510434,209566,22,721.3129032258065,0.9754600000000001,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
23,,2,0.1,0.0,0.1,0.9,0.5055,0.4945,,2.0252041666666667,486049,233951,29,435.6532258064516,3.9616729999999993,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
24,,2,0.2,0.0,0.01,0.99,0.8009791666666667,0.19902083333333334,,2.2514333333333334,540344,179656,25,712.2741935483871,0.9067739999999997,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
25,,2,0.2,0.0,0.01,0.95,0.6740583333333333,0.3259416666666667,,2.1590041666666666,518161,201839,16,775.3725806451613,2.106811,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
26,,2,0.2,0.0,0.01,0.9,0.5928083333333334,0.4071916666666667,,2.1165166666666666,507964,212036,14,749.4629032258065,1.62689,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
27,,2,0.2,0.0,0.1,0.99,0.746525,0.253475,,2.182075,523698,196302,28,470.0709677419355,4.791604,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
28,,2,0.2,0.0,0.1,0.95,0.6437583333333333,0.3562416666666667,,2.1120791666666667,506899,213101,25,700.0661290322581,1.6421949999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
29,,2,0.2,0.0,0.1,0.9,0.4839625,0.5160375,,2.029166666666667,487000,233000,31,426.3048387096774,6.357197000000001,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
30,,2,0.3,0.0,0.01,0.99,0.690675,0.309325,,2.147925,515502,204498,21,734.333870967742,1.8995110000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
31,,2,0.3,0.0,0.01,0.95,0.7014833333333333,0.29851666666666665,,2.120808333333333,508994,211006,24,691.3983870967742,1.829572,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
32,,2,0.3,0.0,0.01,0.9,0.6574291666666666,0.3425708333333333,,2.2275958333333334,534623,185377,30,460.45,7.1242240000000026,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
33,,2,0.3,0.0,0.1,0.99,0.7600041666666667,0.23999583333333332,,2.1646791666666667,519523,200477,17,740.2967741935483,1.9401869999999997,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
34,,2,0.3,0.0,0.1,0.95,0.6635916666666667,0.3364083333333333,,2.1234625,509631,210369,27,473.9451612903226,8.305758999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
35,,2,0.3,0.0,0.1,0.9,0.47839583333333335,0.5216041666666666,,2.0350875,488421,231579,31,410.1290322580645,5.972326000000001,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
36,,4,0.1,0.0,0.01,0.99,0.6092708333333333,0.3907291666666667,,2.25445,541068,178932,31,432.80645161290323,6.579287999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
37,,4,0.1,0.0,0.01,0.95,0.3834708333333333,0.6165291666666667,,2.0013833333333335,480332,239668,30,415.81612903225806,6.085764999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
38,,4,0.1,0.0,0.01,0.9,0.4316833333333333,0.5683166666666667,,1.9616833333333332,470804,249196,23,724.416129032258,1.7608709999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
39,,4,0.1,0.0,0.1,0.99,0.6868416666666667,0.3131583333333333,,2.117325,508158,211842,25,660.2564516129032,1.5554760000000003,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
40,,4,0.1,0.0,0.1,0.95,0.557125,0.442875,,2.1489708333333333,515753,204247,26,504.31612903225806,6.2234820000000015,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
41,,4,0.1,0.0,0.1,0.9,0.44655416666666664,0.5534458333333333,,2.1764375,522345,197655,24,676.4629032258065,1.5674730000000001,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
42,,4,0.2,0.0,0.01,0.99,0.40121666666666667,0.5987833333333333,,1.8785541666666667,450853,269147,25,702.2774193548387,1.7701909999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
43,,4,0.2,0.0,0.01,0.95,0.5034291666666667,0.49657083333333335,,2.2626333333333335,543032,176968,28,448.98387096774195,7.713608,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
44,,4,0.2,0.0,0.01,0.9,0.4426333333333333,0.5573666666666667,,2.078666666666667,498880,221120,31,405.4612903225806,5.777221,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
45,,4,0.2,0.0,0.1,0.99,0.651075,0.348925,,2.0162708333333335,483905,236095,25,708.7064516129033,2.200062,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
46,,4,0.2,0.0,0.1,0.95,0.55805,0.44195,,2.15745,517788,202212,25,712.6645161290322,1.030371,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
47,,4,0.2,0.0,0.1,0.9,0.4569625,0.5430375,,2.1820708333333334,523697,196303,29,447.9129032258065,3.4963460000000013,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
48,,4,0.3,0.0,0.01,0.99,0.4146958333333333,0.5853041666666666,,1.8154416666666666,435706,284294,31,437.0532258064516,2.568806,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
49,,4,0.3,0.0,0.01,0.95,0.6013083333333333,0.39869166666666667,,2.0810666666666666,499456,220544,24,635.6854838709677,0.7006540000000001,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
50,,4,0.3,0.0,0.01,0.9,0.4379958333333333,0.5620041666666666,,2.056591666666667,493582,226418,30,450.4241935483871,3.1724110000000003,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
51,,4,0.3,0.0,0.1,0.99,0.7224458333333333,0.27755416666666666,,2.1362,512688,207312,25,680.0887096774194,0.7480400000000001,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
52,,4,0.3,0.0,0.1,0.95,0.6093875,0.3906125,,2.1595791666666666,518299,201701,19,730.6064516129032,0.7615540000000004,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
53,,4,0.3,0.0,0.1,0.9,0.4623625,0.5376375,,2.2103875,530493,189507,25,695.5967741935484,1.0111640000000004,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
54,,6,0.1,0.0,0.01,0.99,0.5028041666666667,0.49719583333333334,,2.002841666666667,480682,239318,27,475.0241935483871,5.5657000000000005,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
55,,6,0.1,0.0,0.01,0.95,0.5510416666666667,0.44895833333333335,,2.11045,506508,213492,28,456.90806451612906,4.214847999999999,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
56,,6,0.1,0.0,0.01,0.9,0.46235,0.53765,,2.1090583333333335,506174,213826,27,467.1774193548387,3.2241560000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
57,,6,0.1,0.0,0.1,0.99,0.6346,0.3654,,2.1779333333333333,522704,197296,30,418.85322580645163,4.2282769999999985,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
58,,6,0.1,0.0,0.1,0.95,0.5403291666666666,0.4596708333333333,,2.3321541666666668,559717,160283,26,473.98870967741937,3.7775349999999985,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
59,,6,0.1,0.0,0.1,0.9,0.5123,0.4877,,2.2978916666666667,551494,168506,26,473.39354838709676,5.639200999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
60,,6,0.2,0.0,0.01,0.99,0.5023166666666666,0.4976833333333333,,1.9622041666666667,470929,249071,25,687.0709677419355,1.1164289999999997,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
61,,6,0.2,0.0,0.01,0.95,0.44745833333333335,0.5525416666666667,,1.9176791666666666,460243,259757,29,435.4532258064516,3.7285380000000012,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
62,,6,0.2,0.0,0.01,0.9,0.42210416666666667,0.5778958333333334,,1.9329416666666666,463906,256094,30,439.708064516129,4.376159,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
63,,6,0.2,0.0,0.1,0.99,0.6575708333333333,0.3424291666666667,,2.2428583333333334,538286,181714,9,771.8661290322581,1.14164,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
64,,6,0.2,0.0,0.1,0.95,0.5468708333333333,0.4531291666666667,,2.22615,534276,185724,25,675.2887096774193,1.0768779999999998,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
65,,6,0.2,0.0,0.1,0.9,0.5264125,0.4735875,,2.282595833333333,547823,172177,22,712.6161290322581,1.242873,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
66,,6,0.3,0.0,0.01,0.99,0.47070416666666665,0.5292958333333333,,2.103375,504810,215190,31,434.48709677419356,5.553875999999996,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
67,,6,0.3,0.0,0.01,0.95,0.39589166666666664,0.6041083333333334,,1.9422,466128,253872,31,421.75967741935483,6.123530000000002,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
68,,6,0.3,0.0,0.01,0.9,0.49333333333333335,0.5066666666666667,,1.965525,471726,248274,31,420.10967741935485,3.4142080000000004,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
