,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.1,0.95,0.946258,0.053742,,2.930001,5860002.0,139998.0,2,852.17,0.19798600000000002,OmegaTFT
1,,1,0.2,0.0,0.05,0.1,0.95,0.8691955,0.1308045,,2.7180305,5436061.0,563939.0,2,843.19,0.23199899999999998,OmegaTFT
2,,2,0.1,0.0,0.05,0.1,0.95,0.935884,0.064116,,2.903568,5807136.0,192864.0,1,927.695,0.24401299999999998,OmegaTFT
3,,2,0.2,0.0,0.05,0.1,0.95,0.8175595,0.1824405,,2.551798,5103596.0,896404.0,2,744.705,0.17798,OmegaTFT
4,,4,0.1,0.0,0.05,0.1,0.95,0.912752,0.087248,,2.876635,5753270.0,246730.0,2,934.575,0.240017,OmegaTFT
5,,4,0.2,0.0,0.05,0.1,0.95,0.727099,0.272901,,2.4773425,4954685.0,1045315.0,1,983.405,0.35596700000000003,OmegaTFT
6,,8,0.1,0.0,0.05,0.1,0.95,0.9297715,0.0702285,,2.884894,5769788.0,230212.0,2,835.38,0.22101300000000001,OmegaTFT
7,,8,0.2,0.0,0.05,0.1,0.95,0.7578205,0.2421795,,2.52662,5053240.0,946760.0,2,868.195,0.22496500000000003,OmegaTFT
