,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,2,0.1,0.0,0.05,0.01,0.95,0.9142408857142857,0.08575911428571428,,2.905067342857143,203354714.0,6645286.0,24,695.2887096774193,1.1354870000000001,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
1,,2,0.1,0.0,0.05,0.01,0.99,0.8980588428571429,0.10194115714285715,,2.868755314285714,200812872.0,9187128.0,20,739.4693548387097,0.8610410000000001,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
2,,2,0.2,0.0,0.05,0.01,0.95,0.8301292285714286,0.16987077142857143,,2.6916215571428572,188413509.0,21586491.0,27,443.7983870967742,3.3040839999999996,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
3,,2,0.2,0.0,0.05,0.01,0.99,0.8052471285714285,0.19475287142857142,,2.6427336,184991352.0,25008648.0,23,710.5806451612904,1.2214019999999997,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
4,,4,0.1,0.0,0.05,0.01,0.95,0.6853851285714285,0.3146148714285714,,2.9044370285714285,203310592.0,6689408.0,25,695.6903225806452,0.7510939999999999,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
5,,4,0.1,0.0,0.05,0.01,0.99,0.7065421428571429,0.29345785714285716,,2.7285110857142856,190995776.0,19004224.0,31,425.3306451612903,3.6160009999999985,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
6,,4,0.2,0.0,0.05,0.01,0.95,0.6337710571428572,0.36622894285714286,,2.6419030857142856,184933216.0,25066784.0,24,726.0274193548387,0.9800269999999996,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
7,,4,0.2,0.0,0.05,0.01,0.99,0.6396609571428571,0.36033904285714285,,2.452602042857143,171682143.0,38317857.0,24,689.0870967741936,0.8733779999999999,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
8,,8,0.1,0.0,0.05,0.01,0.95,0.7669437571428571,0.23305624285714285,,2.9598372285714287,207188606.0,2811394.0,31,418.48225806451615,3.1892490000000002,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
9,,8,0.1,0.0,0.05,0.01,0.99,0.7877995571428571,0.21220044285714285,,2.8497744285714286,199484210.0,10515790.0,17,743.3870967741935,0.9290320000000002,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
10,,8,0.2,0.0,0.05,0.01,0.95,0.6617410142857143,0.3382589857142857,,2.716762242857143,190173357.0,19826643.0,29,451.19193548387096,3.055034,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
11,,8,0.2,0.0,0.05,0.01,0.99,0.6663742571428571,0.33362574285714286,,2.6213530142857144,183494711.0,26505289.0,26,490.84193548387094,4.062988000000001,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,OmegaTFT"
