,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,2,0.1,0.0,0.05,0.001,0.95,0.44316375,0.55683625,,2.045839625,16366717.0,7633283.0,12,757.3016129032258,0.9570590000000002,"TitForTat,OmegaTFT,AllC,AllD"
1,,2,0.1,0.0,0.05,0.001,0.99,0.74932475,0.25067525,,2.319448375,18555587.0,5444413.0,24,707.4274193548387,1.0053650000000003,"TitForTat,OmegaTFT,AllC,AllD"
2,,2,0.2,0.0,0.05,0.001,0.95,0.4892385,0.5107615,,2.03062175,16244974.0,7755026.0,25,505.96290322580643,3.616198,"TitForTat,OmegaTFT,AllC,AllD"
3,,2,0.2,0.0,0.05,0.001,0.99,0.61201825,0.38798175,,2.00016375,16001310.0,7998690.0,24,692.25,1.279918,"TitForTat,OmegaTFT,AllC,AllD"
4,,4,0.1,0.0,0.05,0.001,0.95,0.496374875,0.503625125,,2.319825625,18558605.0,5441395.0,30,447.95,3.620121,"TitForTat,OmegaTFT,AllC,AllD"
5,,4,0.1,0.0,0.05,0.001,0.99,0.658444375,0.341555625,,2.399053625,19192429.0,4807571.0,24,692.3935483870968,0.8490330000000001,"TitForTat,OmegaTFT,AllC,AllD"
6,,4,0.2,0.0,0.05,0.001,0.95,0.4071415,0.5928585,,2.133019625,17064157.0,6935843.0,25,682.2483870967742,0.8710000000000002,"TitForTat,OmegaTFT,AllC,AllD"
7,,4,0.2,0.0,0.05,0.001,0.99,0.574635,0.425365,,2.13905525,17112442.0,6887558.0,18,741.6306451612903,0.8160040000000002,"TitForTat,OmegaTFT,AllC,AllD"
8,,8,0.1,0.0,0.05,0.001,0.95,0.626468125,0.373531875,,2.35503325,18840266.0,5159734.0,28,454.58870967741933,3.1098319999999986,"TitForTat,OmegaTFT,AllC,AllD"
9,,8,0.1,0.0,0.05,0.001,0.99,0.627535875,0.372464125,,2.3256305,18605044.0,5394956.0,30,431.5854838709677,2.649988,"TitForTat,OmegaTFT,AllC,AllD"
10,,8,0.2,0.0,0.05,0.001,0.95,0.373589375,0.626410625,,1.8842395,15073916.0,8926084.0,28,477.73064516129034,4.1169649999999995,"TitForTat,OmegaTFT,AllC,AllD"
11,,8,0.2,0.0,0.05,0.001,0.99,0.406881875,0.593118125,,1.902731,15221848.0,8778152.0,31,409.7048387096774,3.7915969999999986,"TitForTat,OmegaTFT,AllC,AllD"
12,,10,0.1,0.0,0.05,0.001,0.95,0.549747625,0.450252375,,2.1790525,17432420.0,6567580.0,27,471.05,3.9299939999999993,"TitForTat,OmegaTFT,AllC,AllD"
13,,10,0.1,0.0,0.05,0.001,0.99,0.6716645,0.3283355,,2.35586125,18846890.0,5153110.0,31,429.9032258064516,2.8117349999999997,"TitForTat,OmegaTFT,AllC,AllD"
14,,10,0.2,0.0,0.05,0.001,0.95,0.4173245,0.5826755,,1.991765625,15934125.0,8065875.0,30,430.68225806451613,4.061991999999999,"TitForTat,OmegaTFT,AllC,AllD"
15,,10,0.2,0.0,0.05,0.001,0.99,0.32859025,0.67140975,,1.842247875,14737983.0,9262017.0,31,451.7935483870968,3.000053,"TitForTat,OmegaTFT,AllC,AllD"
