,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.01,0.99,0.9450975,0.0549025,,2.9384255,5876851.0,123149.0,24,712.4406451612904,4.081169,TitForTat
1,,1,0.2,0.0,0.05,0.01,0.99,0.898887,0.101113,,2.890287,5780574.0,219426.0,24,705.1132258064516,4.449949,TitForTat
2,,2,0.1,0.0,0.05,0.01,0.99,0.9379085,0.0620915,,2.923793,5847586.0,152414.0,25,686.943870967742,3.933062999999999,TitForTat
3,,2,0.2,0.0,0.05,0.01,0.99,0.8898385,0.1101615,,2.870211,5740422.0,259578.0,25,695.3248387096775,3.879014,TitForTat
4,,4,0.1,0.0,0.05,0.01,0.99,0.9437595,0.0562405,,2.935493,5870986.0,129014.0,24,719.4183870967742,4.050042,TitForTat
5,,4,0.2,0.0,0.05,0.01,0.99,0.883184,0.116816,,2.8583635,5716727.0,283273.0,25,696.7258064516129,3.825996999999999,TitForTat
6,,8,0.1,0.0,0.05,0.01,0.99,0.816053,0.183947,,2.769225,5538450.0,461550.0,24,705.1106451612903,3.993038,TitForTat
7,,8,0.2,0.0,0.05,0.01,0.99,0.8530775,0.1469225,,2.8019395,5603879.0,396121.0,25,685.9983870967742,3.978988000000001,TitForTat
