,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.01,0.99,0.9447235555555555,0.05527644444444445,,2.913185888888889,52437346.0,1562654.0,23,721.4051612903226,4.553013999999999,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
1,,1,0.2,0.0,0.05,0.01,0.99,0.8875627777777778,0.11243722222222222,,2.7272077222222224,49089739.0,4910261.0,25,675.0725806451613,4.281034000000002,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
2,,2,0.1,0.0,0.05,0.01,0.99,0.9393766666666666,0.060623333333333335,,2.9082292222222224,52348126.0,1651874.0,25,702.6390322580645,4.670117,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
3,,2,0.2,0.0,0.05,0.01,0.99,0.8334672222222222,0.16653277777777778,,2.7132388333333335,48838299.0,5161701.0,23,715.705806451613,4.2791049999999995,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
4,,4,0.1,0.0,0.05,0.01,0.99,0.8053631666666666,0.19463683333333334,,2.8508708888888887,51315676.0,2684324.0,27,455.50354838709677,28.857438,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
5,,4,0.2,0.0,0.05,0.01,0.99,0.6347220555555556,0.36527794444444445,,2.4774081666666667,44593347.0,9406653.0,25,715.813870967742,4.100847,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
6,,8,0.1,0.0,0.05,0.01,0.99,0.8354853333333333,0.16451466666666667,,2.7791942777777776,50025497.0,3974503.0,25,691.2235483870968,4.130897,"TitForTat,OmegaTFT,TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
