,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.01,0.99,0.94666925,0.05333075,,2.9380005,11752002.0,247998.0,25,681.6106451612903,3.9740450000000003,"TitForTat,OmegaTFT"
1,,1,0.2,0.0,0.05,0.01,0.99,0.88940375,0.11059625,,2.80948425,11237937.0,762063.0,25,693.276129032258,4.50197,"TitForTat,OmegaTFT"
2,,2,0.1,0.0,0.05,0.01,0.99,0.90991375,0.09008625,,2.78527175,11141087.0,858913.0,24,709.4348387096774,4.03304,"TitForTat,OmegaTFT"
3,,2,0.2,0.0,0.05,0.01,0.99,0.88320325,0.11679675,,2.80848875,11233955.0,766045.0,24,716.2729032258064,4.196071,"TitForTat,OmegaTFT"
4,,4,0.1,0.0,0.05,0.01,0.99,0.8910265,0.1089735,,2.827748,11310992.0,689008.0,25,697.1654838709677,3.9471089999999993,"TitForTat,OmegaTFT"
5,,4,0.2,0.0,0.05,0.01,0.99,0.8543265,0.1456735,,2.759106,11036424.0,963576.0,20,748.7151612903226,4.231138999999999,"TitForTat,OmegaTFT"
6,,8,0.1,0.0,0.05,0.01,0.99,0.91933825,0.08066175,,2.8863415,11545366.0,454634.0,24,717.8977419354839,4.2490250000000005,"TitForTat,OmegaTFT"
7,,8,0.2,0.0,0.05,0.01,0.99,0.6856645,0.3143355,,2.35221275,9408851.0,2591149.0,24,712.351935483871,4.213055,"TitForTat,OmegaTFT"
