,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.01,0.0,0.05,0.01,0.99,0.0049935,0.9950065,,1.1357315,2271463.0,3728537.0,29,447.9083870967742,33.660900999999996,Borufsen
1,,1,0.1,0.0,0.05,0.01,0.99,0.8292945,0.1707055,,2.6787245,5357449.0,642551.0,24,706.6909677419355,5.331857,Borufsen
2,,1,0.2,0.0,0.05,0.01,0.99,0.8398735,0.1601265,,2.8122235,5624447.0,375553.0,25,703.111935483871,4.142071000000001,Borufsen
3,,2,0.01,0.0,0.05,0.01,0.99,0.004995,0.995005,,1.13573,2271460.0,3728540.0,26,453.48483870967743,29.26918600000001,Borufsen
4,,2,0.1,0.0,0.05,0.01,0.99,0.3380795,0.6619205,,2.4169265,4833853.0,1166147.0,24,710.5322580645161,4.047044999999999,Borufsen
5,,2,0.2,0.0,0.05,0.01,0.99,0.517026,0.482974,,2.60711,5214220.0,785780.0,25,703.9445161290323,4.035104999999999,Borufsen
6,,4,0.01,0.0,0.05,0.01,0.99,0.0050655,0.9949345,,1.135845,2271690.0,3728310.0,29,444.3477419354839,33.33125600000002,Borufsen
7,,4,0.1,0.0,0.05,0.01,0.99,0.1030805,0.8969195,,1.46814,2936280.0,3063720.0,31,428.91806451612905,24.480939999999997,Borufsen
8,,4,0.2,0.0,0.05,0.01,0.99,0.188191,0.811809,,1.9076685,3815337.0,2184663.0,31,421.56967741935483,32.015072,Borufsen
