,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
30,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.001,2.0,4,,,737.0887096774194,11.687657000000002,17.0,0.97476,13778.0,586222.0,0.02524,2.067951329619524,2.93111
31,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.001,2.0,4,,,446.9258064516129,13.639834,28.0,0.28552,149588.0,450412.0,0.71448,0.9877831643987784,2.25206
32,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.01,2.0,4,,,421.10967741935485,14.793627000000004,31.0,0.36665,105583.0,494417.0,0.63335,0.487053667638079,2.472085
33,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.01,2.0,4,,,731.2774193548387,12.570027,24.0,0.975045,12978.0,587022.0,0.024955,2.45368,2.93511
34,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.001,2.0,4,,,701.6612903225806,11.902277000000003,25.0,0.766745,51811.0,548189.0,0.233255,0.4160583720375281,2.740945
35,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.001,2.0,4,,,738.5725806451613,11.953507000000002,13.0,0.97552,12741.0,587259.0,0.02448,2.4544425,2.936295
36,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.01,2.0,4,,,747.4725806451613,12.496437,19.0,0.949455,30048.0,569952.0,0.050545,2.389035,2.84976
37,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.0,,0.01,2.0,4,,,679.0096774193548,11.631396999999998,24.0,0.94994,30609.0,569391.0,0.05006,2.3862534753036497,2.846955
38,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.001,2.0,4,,,503.56935483870967,12.898931,26.0,0.16472,166194.0,433806.0,0.83528,0.8115267517335509,2.16903
39,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.0,,0.001,2.0,4,,,464.491935483871,15.296287,27.0,0.29388,167428.0,432572.0,0.70612,1.4741549727804708,2.16286
40,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.002,,0.01,2.0,4,,,730.6677419354838,12.104774000000004,16.0,0.972975,14500.0,585500.0,0.027025,2.4478277306814493,2.9275
41,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.002,,0.01,2.0,4,,,528.7870967741935,14.002467999999997,26.0,0.35699,182866.0,417134.0,0.64301,1.6035721627865611,2.08567
42,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.002,,0.001,2.0,4,,,482.1967741935484,16.69638,28.0,0.027185,145253.0,454747.0,0.972815,1.595680145041987,2.273735
43,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.002,,0.001,2.0,4,,,616.6854838709677,13.743368,25.0,0.791505,119732.0,480268.0,0.208495,1.9800920826710997,2.40134
44,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.0,,0.01,2.0,4,,,432.9612903225806,14.641852000000002,31.0,0.35307,126488.0,473512.0,0.64693,0.6217602101702872,2.36756
45,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.0,,0.01,2.0,4,,,776.0064516129032,12.879030000000002,12.0,0.900185,62681.0,537319.0,0.099815,2.260953993969937,2.686595
46,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.0,,0.001,2.0,4,,,640.5290322580645,13.656406,25.0,0.40412,154415.0,445585.0,0.59588,1.5127112350424787,2.227925
47,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.0,,0.001,2.0,4,,,650.591935483871,12.387369,25.0,0.806285,98769.0,501231.0,0.193715,2.070377060666823,2.506155
48,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.002,,0.01,2.0,4,,,430.7241935483871,13.778706,30.0,0.314775,115906.0,484094.0,0.685225,0.4867965671656284,2.42047
49,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.002,,0.01,2.0,4,,,753.5790322580646,12.564754000000002,20.0,0.513515,88075.0,511925.0,0.486485,0.7220403884210368,2.559625
50,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.002,,0.001,2.0,4,,,731.2516129032258,12.441158999999995,22.0,0.653035,80144.0,519856.0,0.346965,0.4791073604578524,2.59928
51,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.002,,0.001,2.0,4,,,775.1951612903226,12.815532,12.0,0.34051,142045.0,457955.0,0.65949,1.0270496561101583,2.289775
52,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.01,2.0,8,,,701.9532258064517,12.195989,25.0,0.974595,13688.0,586312.0,0.025405,1.4308896429841502,2.93156
53,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.01,2.0,8,,,695.1854838709677,11.959570999999997,25.0,0.972465,13288.0,586712.0,0.027535,2.435137519757009,2.93356
54,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.001,2.0,8,,,647.1822580645161,11.266605000000004,25.0,0.975475,12511.0,587489.0,0.024525,1.421578190830885,2.937445
55,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.001,2.0,8,,,529.6725806451612,14.997668000000004,25.0,0.43602,173206.0,426794.0,0.56398,1.6494749536742124,2.13397
56,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.01,2.0,8,,,439.2596774193548,14.867505000000005,30.0,0.60276,59168.0,540832.0,0.39724,0.4012313015152728,2.70416
57,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.01,2.0,8,,,695.3822580645161,11.995185999999997,25.0,0.97459,13577.0,586423.0,0.02541,2.451234196811331,2.932115
58,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.001,2.0,8,,,728.8612903225807,12.906262,22.0,0.532965,83543.0,516457.0,0.467035,0.5651775782694609,2.582285
59,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.001,2.0,8,,,565.1903225806452,13.58887,25.0,0.89751,32982.0,567018.0,0.10249,2.336773478487505,2.83509
60,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.01,2.0,8,,,743.4016129032258,12.481884999999998,19.0,0.578775,74747.0,525253.0,0.421225,0.5234397207304022,2.626265
61,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.0,,0.01,2.0,8,,,475.8564516129032,15.432505999999998,27.0,0.430085,119364.0,480636.0,0.569915,0.8098231483629685,2.40318
62,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.001,2.0,8,,,720.0290322580645,11.844326999999998,23.0,0.950085,31413.0,568587.0,0.049915,2.3592072218641227,2.842935
63,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.0,,0.001,2.0,8,,,471.8516129032258,17.948796,28.0,0.775185,89116.0,510884.0,0.224815,2.074741587676973,2.55442
64,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.002,,0.01,2.0,8,,,458.0806451612903,14.364988,28.0,0.03783,145935.0,454065.0,0.96217,1.5735111508102937,2.270325
65,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.002,,0.01,2.0,8,,,720.1645161290322,12.156416000000002,23.0,0.56047,78499.0,521501.0,0.43953,0.629428114740976,2.607505
66,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.002,,0.001,2.0,8,,,480.0435483870968,15.249621,27.0,0.852965,32012.0,567988.0,0.147035,0.2813316704615049,2.83994
67,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.1,0.002,,0.001,2.0,8,,,468.40806451612906,12.529182999999998,30.0,0.492665,164593.0,435407.0,0.507335,1.6877343721744051,2.177035
68,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.0,,0.01,2.0,8,,,568.2048387096775,14.080312000000005,25.0,0.526315,93538.0,506462.0,0.473685,0.6282048107764062,2.53231
69,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.0,,0.01,2.0,8,,,439.1403225806452,14.568399000000008,30.0,0.41616,137355.0,462645.0,0.58384,0.8729111363944232,2.313225
70,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.0,,0.001,2.0,8,,,550.5016129032258,12.821458,25.0,0.234335,170670.0,429330.0,0.765665,0.786834885172795,2.14665
71,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.0,,0.001,2.0,8,,,643.9806451612903,12.629543999999996,25.0,0.58509,126912.0,473088.0,0.41491,1.186279083765324,2.36544
72,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.002,,0.01,2.0,8,,,716.941935483871,11.909646,22.0,0.96062,23787.0,576213.0,0.03938,2.411990136310817,2.881065
73,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.002,,0.01,2.0,8,,,734.008064516129,12.735295,22.0,0.960865,22583.0,577417.0,0.039135,2.4169342925992607,2.887085
74,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.002,,0.001,2.0,8,,,647.1532258064516,12.244293999999998,25.0,0.75471,65309.0,534691.0,0.24529,0.5178319704999707,2.673455
75,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.002,,0.001,2.0,8,,,439.9693548387097,14.753588,29.0,0.282195,162364.0,437636.0,0.717805,1.0383923918465063,2.18818
76,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.01,2.0,16,,,651.0564516129032,11.683891000000004,25.0,0.975125,12943.0,587057.0,0.024875,1.4194029177330738,2.935285
77,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.01,2.0,16,,,422.3241935483871,13.94134,30.0,0.458085,101398.0,498602.0,0.541915,0.7042636045270257,2.49301
78,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.001,2.0,16,,,729.2145161290323,12.152022000000006,22.0,0.55546,101621.0,498379.0,0.44454,0.5382389649535941,2.491895
79,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.001,2.0,16,,,768.5806451612904,12.849002000000002,17.0,0.33985,148425.0,451575.0,0.66015,1.1401702469407429,2.257875
80,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.01,2.0,16,,,696.1241935483871,11.802030999999998,23.0,0.48198,77623.0,522377.0,0.51802,0.456476466850823,2.611885
