,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.1,0.95,0.9501075,0.0498925,,2.9484355,5896871.0,103129.0,1,888.92,0.176949,TitForTat
1,,1,0.2,0.0,0.05,0.1,0.95,0.899869,0.100131,,2.8913445,5782689.0,217311.0,2,744.045,0.14700100000000002,TitForTat
2,,2,0.1,0.0,0.05,0.1,0.95,0.9497125,0.0502875,,2.947573,5895146.0,104854.0,2,880.7,0.180999,TitForTat
3,,2,0.2,0.0,0.05,0.1,0.95,0.899959,0.100041,,2.8914675,5782935.0,217065.0,2,727.855,0.157912,TitForTat
4,,4,0.1,0.0,0.05,0.1,0.95,0.9463025,0.0536975,,2.9412145,5882429.0,117571.0,1,937.815,0.203992,TitForTat
5,,4,0.2,0.0,0.05,0.1,0.95,0.8971565,0.1028435,,2.886557,5773114.0,226886.0,2,861.06,0.18103800000000003,TitForTat
6,,8,0.1,0.0,0.05,0.1,0.95,0.9436195,0.0563805,,2.9371895,5874379.0,125621.0,2,734.735,0.172946,TitForTat
7,,8,0.2,0.0,0.05,0.1,0.95,0.88112,0.11888,,2.8582335,5716467.0,283533.0,2,862.71,0.212982,TitForTat
