,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
39,,8,0.1,0.0,0.05,0.01,0.99,0.9401125,0.0598875,,2.9309485,5861897.0,138103.0,25,672.0193548387097,0.7440060000000001,TitForTat
40,,8,0.1,0.0,0.05,0.1,0.95,0.9437145,0.0562855,,2.9386955,5877391.0,122609.0,21,730.7290322580645,0.8350099999999998,TitForTat
41,,8,0.1,0.0,0.05,0.1,0.99,0.940774,0.059226,,2.9299035,5859807.0,140193.0,23,697.8790322580645,0.8159979999999998,TitForTat
42,,8,0.2,0.0,0.05,0.001,0.95,0.4212195,0.5787805,,1.975774,3951548.0,2048452.0,24,726.3693548387097,0.8514540000000002,TitForTat
43,,8,0.2,0.0,0.05,0.001,0.99,0.22976,0.77024,,1.5798595,3159719.0,2840281.0,30,435.93225806451613,2.615861999999999,TitForTat
44,,8,0.2,0.0,0.05,0.01,0.95,0.8155025,0.1844975,,2.74041,5480820.0,519180.0,24,708.2612903225806,0.846954,TitForTat
45,,8,0.2,0.0,0.05,0.01,0.99,0.763198,0.236802,,2.635801,5271602.0,728398.0,23,725.1870967741935,0.8179759999999999,TitForTat
46,,8,0.2,0.0,0.05,0.1,0.95,0.8804005,0.1195995,,2.85855,5717100.0,282900.0,25,650.9016129032258,0.7500720000000002,TitForTat
47,,8,0.2,0.0,0.05,0.1,0.99,0.8777675,0.1222325,,2.848175,5696350.0,303650.0,4,827.2241935483871,0.9340709999999999,TitForTat
48,,10,0.1,0.0,0.05,0.001,0.95,0.7184805,0.2815195,,2.5168845,5033769.0,966231.0,30,457.38870967741934,3.4870169999999994,TitForTat
49,,10,0.1,0.0,0.05,0.001,0.99,0.866406,0.133594,,2.7925155,5585031.0,414969.0,25,654.5645161290323,0.7310320000000001,TitForTat
50,,10,0.1,0.0,0.05,0.01,0.95,0.8968485,0.1031515,,2.873791,5747582.0,252418.0,24,707.9774193548387,0.7878319999999999,TitForTat
51,,10,0.1,0.0,0.05,0.01,0.99,0.927004,0.072996,,2.910305,5820610.0,179390.0,22,734.7435483870968,0.8451789999999999,TitForTat
52,,10,0.1,0.0,0.05,0.1,0.95,0.9414755,0.0585245,,2.9345515,5869103.0,130897.0,24,700.4129032258064,0.8009700000000002,TitForTat
53,,10,0.1,0.0,0.05,0.1,0.99,0.936911,0.063089,,2.924915,5849830.0,150170.0,22,706.2806451612903,0.8170229999999998,TitForTat
54,,10,0.2,0.0,0.05,0.001,0.95,0.45503,0.54497,,2.0127525,4025505.0,1974495.0,19,746.8161290322581,0.8244219999999998,TitForTat
55,,10,0.2,0.0,0.05,0.001,0.99,0.316027,0.683973,,1.7434055,3486811.0,2513189.0,29,453.991935483871,3.427416999999999,TitForTat
56,,10,0.2,0.0,0.05,0.01,0.95,0.70353,0.29647,,2.5427895,5085579.0,914421.0,18,767.7693548387097,0.897084,TitForTat
57,,10,0.2,0.0,0.05,0.01,0.99,0.7651375,0.2348625,,2.6416395,5283279.0,716721.0,23,728.2161290322581,0.8380569999999999,TitForTat
58,,10,0.2,0.0,0.05,0.1,0.95,0.8724255,0.1275745,,2.84814,5696280.0,303720.0,25,676.0032258064516,0.7980329999999998,TitForTat
59,,10,0.2,0.0,0.05,0.1,0.99,0.8702215,0.1297785,,2.8366055,5673211.0,326789.0,17,741.5854838709678,0.89804,TitForTat
