,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,2,0.05,0.0,0.05,0.001,0.95,2500,0.93097275,0.06902725,,2.63690925,10547637.0,1452363.0,14,769.1451612903226,5.810057999999997,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
1,,2,0.05,0.0,0.05,0.001,0.99,2500,0.9511015,0.0488985,,2.68434375,10737375.0,1262625.0,25,515.768064516129,12.837240999999999,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
2,,2,0.05,0.0,0.05,0.01,0.95,2500,0.443142,0.556858,,2.168788,8675152.0,3324848.0,25,497.39870967741933,20.008030999999995,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
3,,2,0.05,0.0,0.05,0.01,0.99,2500,0.5577215,0.4422785,,2.28079775,9123191.0,2876809.0,20,755.2748387096774,5.799042000000002,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
4,,2,0.05,0.0,0.05,0.05,0.95,2500,0.31684525,0.68315475,,2.0200485,8080194.0,3919806.0,26,476.68032258064517,28.600053000000006,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
5,,2,0.05,0.0,0.05,0.05,0.99,2500,0.51253825,0.48746175,,2.229571,8918284.0,3081716.0,1,800.6764516129032,5.777894999999999,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
6,,2,0.05,0.0,0.05,0.1,0.95,2500,0.2971425,0.7028575,,1.9963385,7985354.0,4014646.0,25,494.03225806451616,18.904997,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
7,,2,0.05,0.0,0.05,0.1,0.99,2500,0.42379675,0.57620325,,2.120434,8481736.0,3518264.0,20,756.6454838709677,5.567087999999998,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
8,,2,0.1,0.0,0.05,0.001,0.95,2500,0.51154625,0.48845375,,2.210804,8843216.0,3156784.0,14,760.6709677419354,5.239064999999997,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
9,,2,0.1,0.0,0.05,0.001,0.99,2500,0.80077375,0.19922625,,2.4887725,9955090.0,2044910.0,14,771.1348387096774,5.326042,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
10,,2,0.1,0.0,0.05,0.01,0.95,2500,0.225094,0.774906,,1.8687325,7474930.0,4525070.0,31,439.5416129032258,27.622004999999994,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
11,,2,0.1,0.0,0.05,0.01,0.99,2500,0.3936695,0.6063305,,2.059163,8236652.0,3763348.0,9,765.3180645161291,5.633985000000001,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
12,,2,0.1,0.0,0.05,0.05,0.95,2500,0.22681725,0.77318275,,1.88482975,7539319.0,4460681.0,27,463.7883870967742,29.503104,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
13,,2,0.1,0.0,0.05,0.05,0.99,2500,0.28722025,0.71277975,,1.94536425,7781457.0,4218543.0,13,777.5832258064517,6.232842000000002,"TitForTat,TFTT,TTFT,GenerousTFT,OmegaTFT,Davis,Grofman,Leyvraz"
