,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
19,,1,0.2,0.0,0.05,0.01,0.99,2500,0.15506275,0.84493725,,2.07548075,8301923.0,3698077.0,28,448.0558064516129,15.622444000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
20,,1,0.2,0.0,0.05,0.05,0.95,2500,0.22205575,0.77794425,,2.0966575,8386630.0,3613370.0,27,448.09580645161293,17.022286,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
21,,1,0.2,0.0,0.05,0.05,0.99,2500,0.24111875,0.75888125,,2.0901035,8360414.0,3639586.0,25,521.9064516129032,17.703966000000005,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
22,,1,0.2,0.0,0.05,0.1,0.95,2500,0.2530645,0.7469355,,2.1032495,8412998.0,3587002.0,27,471.48483870967743,11.073652999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
23,,1,0.2,0.0,0.05,0.1,0.99,2500,0.2771735,0.7228265,,2.09475575,8379023.0,3620977.0,13,768.6493548387097,2.9265919999999994,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
24,,2,0.05,0.0,0.05,0.001,0.95,2500,0.938008,0.061992,,2.70356025,10814241.0,1185759.0,22,735.8454838709678,2.909899,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
25,,2,0.05,0.0,0.05,0.001,0.99,2500,0.92227775,0.07772225,,2.6024265,10409706.0,1590294.0,23,740.0961290322581,2.8704259999999984,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
26,,2,0.05,0.0,0.05,0.01,0.95,2500,0.4445075,0.5554925,,2.3683075,9473230.0,2526770.0,4,780.3741935483871,2.953723999999999,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
27,,2,0.05,0.0,0.05,0.01,0.99,2500,0.57723375,0.42276625,,2.533879,10135516.0,1864484.0,19,752.7283870967742,2.791255,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
28,,2,0.05,0.0,0.05,0.05,0.95,2500,0.2965215,0.7034785,,2.18749775,8749991.0,3250009.0,1,796.4387096774194,3.0090819999999994,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
