,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,4,0.05,0.0,0.05,0.001,0.95,2500,0.9503626666666667,0.04963733333333333,,2.960987,8882961.0,117039.0,17,757.7012903225807,6.315067,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
1,,4,0.05,0.0,0.05,0.001,0.99,2500,0.966335,0.033665,,2.980781,8942343.0,57657.0,19,753.7390322580645,5.393190999999998,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
2,,4,0.05,0.0,0.05,0.01,0.95,2500,0.6214666666666666,0.37853333333333333,,2.641216,7923648.0,1076352.0,9,774.8058064516129,9.309078,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
3,,4,0.05,0.0,0.05,0.01,0.99,2500,0.922956,0.077044,,2.9753256666666665,8925977.0,74023.0,23,728.7125806451613,4.976983000000001,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
4,,4,0.05,0.0,0.05,0.05,0.95,2500,0.348257,0.651743,,2.3640833333333333,7092250.0,1907750.0,25,517.1222580645161,33.63474099999999,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
5,,4,0.05,0.0,0.05,0.05,0.99,2500,0.6012566666666667,0.39874333333333334,,2.667931,8003793.0,996207.0,25,545.463870967742,26.664138,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
6,,4,0.05,0.0,0.05,0.1,0.95,2500,0.30615,0.69385,,2.305614333333333,6916843.0,2083157.0,27,462.4474193548387,36.837561,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
7,,4,0.05,0.0,0.05,0.1,0.99,2500,0.45873966666666666,0.5412603333333333,,2.471286666666667,7413860.0,1586140.0,21,739.7016129032259,5.018963000000001,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
8,,4,0.1,0.0,0.05,0.001,0.95,2500,0.8147686666666667,0.18523133333333333,,2.8899006666666667,8669702.0,330298.0,22,733.7883870967742,5.172992000000002,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
9,,4,0.1,0.0,0.05,0.001,0.99,2500,0.586426,0.413574,,2.619589,7858767.0,1141233.0,15,764.8758064516129,5.048038999999999,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
10,,4,0.1,0.0,0.05,0.01,0.95,2500,0.36937233333333336,0.6306276666666667,,2.3296113333333333,6988834.0,2011166.0,25,510.57774193548386,22.806083999999995,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
11,,4,0.1,0.0,0.05,0.01,0.99,2500,0.6255803333333333,0.37441966666666665,,2.693907333333333,8081722.0,918278.0,2,795.89,5.638997000000001,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
12,,4,0.1,0.0,0.05,0.05,0.95,2500,0.25032866666666664,0.7496713333333334,,2.193942333333333,6581827.0,2418173.0,18,751.5032258064516,6.363926000000002,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
13,,4,0.1,0.0,0.05,0.05,0.99,2500,0.400436,0.599564,,2.372231,7116693.0,1883307.0,25,539.971935483871,23.178061,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
14,,4,0.1,0.0,0.05,0.1,0.95,2500,0.25089266666666665,0.7491073333333333,,2.1789503333333333,6536851.0,2463149.0,25,560.798064516129,23.568847999999992,"TitForTat,Champion,Borufsen,SecondByCave,SecondByWmAdams,SecondByGraaskampKatzen"
