,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,10,0.2,0.0,0.05,0.001,0.99,4000,0.5252279166666667,0.4747720833333333,,1.97248875,4733973.0,2466027.0,25,609.8912903225806,23.206649000000002,"TitForTat,Joss,Downing"
1,,10,0.25,0.0,0.05,0.001,0.99,4000,0.47754708333333334,0.5224529166666667,,1.8791758333333333,4510022.0,2689978.0,18,752.065806451613,5.196047999999999,"TitForTat,Joss,Downing"
2,,12,0.2,0.0,0.05,0.001,0.99,4000,0.5402854166666666,0.4597145833333333,,1.9712979166666666,4731115.0,2468885.0,23,746.6609677419355,5.262098,"TitForTat,Joss,Downing"
3,,12,0.25,0.0,0.05,0.001,0.99,4000,0.48603875,0.51396125,,1.8750125,4500030.0,2699970.0,25,600.3496774193549,23.413038,"TitForTat,Joss,Downing"
4,,14,0.2,0.0,0.05,0.001,0.99,4000,0.57465375,0.42534625,,1.9416266666666666,4659904.0,2540096.0,25,561.8045161290322,21.505022999999994,"TitForTat,Joss,Downing"
5,,14,0.25,0.0,0.05,0.001,0.99,4000,0.5274420833333333,0.4725579166666667,,1.8794204166666666,4510609.0,2689391.0,25,559.4364516129032,19.944077000000004,"TitForTat,Joss,Downing"
