,id,tn_score,tn_time,p_cc,p_cd,p_dc,p_dd
0,AllC,550.9458041958042,0.010597608391608391,,,,
1,AllD,942.2398601398602,0.01783063811188811,,,,
2,TitForTat,748.5318181818182,0.014146524475524471,,,,
3,RandomAgent,746.5937062937063,0.019395487762237762,,,,
4,Davis,936.686013986014,0.01735845104895103,,,,
5,Shubik,923.6206293706293,0.016163078671328667,,,,
6,SteinAndRapoport,792.6881118881118,0.07313421678321673,,,,
7,Grudger,975.2192307692308,0.014172001748251742,,,,
8,Nydegger,556.6615384615385,0.023463461538461534,,,,
9,Grofman,700.4363636363636,0.015235423076923072,,,,
10,Downing,947.8269230769231,0.02727593706293707,,,,
11,Feld,918.2821678321678,0.020579232517482494,,,,
12,Joss,726.098951048951,0.019433029720279712,,,,
13,Pavlov,861.0884615384615,0.014728183566433567,,,,
14,OmegaTFT,949.8090909090909,0.019174431818181806,,,,
15,TFTT,653.6961538461538,0.015150912587412583,,,,
16,TTFT,792.1286713286713,0.016692075174825186,,,,
17,GradualTFT,914.508041958042,0.13594533216783222,,,,
18,GenerousTFT,693.5146853146853,0.015579057692307698,,,,
19,TidemanAndChieruzzi,777.7884615384615,0.022054171328671334,,,,
20,Champion,728.6447552447553,0.2224880157342658,,,,
21,Borufsen,826.5972027972028,0.01925676223776222,,,,
22,Leyvraz,701.0751748251748,0.19729905419580412,,,,
23,Harrington,803.3276223776223,0.030203277972027938,,,,
24,White,724.2363636363636,0.022134653846153818,,,,
25,SecondByBlackK83R,655.4989510489511,0.025484277972027986,,,,
26,TidemanAndChieruzzi2,846.5762237762237,0.024367243006992986,,,,
27,GraaskampAndKatzen,964.7923076923076,0.016727019230769226,,,,
28,Weiner,777.2293706293706,0.06109260314685316,,,,
29,Tullock,938.7297202797203,0.023397258741258753,,,,
30,Stoc0,871.6730769230769,0.021175162587412585,0.25,0.25,0.25,0.25
31,Stoc1,822.1730769230769,0.02146709615384617,0.25,0.25,0.25,0.5
32,Stoc2,799.6891608391609,0.02073886713286712,0.25,0.25,0.25,0.75
33,Stoc3,822.7251748251748,0.02054386013986015,0.25,0.25,0.25,1.0
34,Stoc4,829.9867132867133,0.022008279720279727,0.25,0.25,0.5,0.25
35,Stoc5,820.0790209790209,0.022026256993006994,0.25,0.25,0.5,0.5
36,Stoc6,794.9384615384615,0.020630942307692326,0.25,0.25,0.5,0.75
37,Stoc7,798.5804195804196,0.02012838986013986,0.25,0.25,0.5,1.0
38,Stoc8,842.2888111888112,0.020895783216783228,0.25,0.25,0.75,0.25
39,Stoc9,811.4758741258742,0.021312337412587392,0.25,0.25,0.75,0.5
40,Stoc10,777.0440559440559,0.020766984265734274,0.25,0.25,0.75,0.75
41,Stoc11,748.5286713286713,0.020364075174825157,0.25,0.25,0.75,1.0
42,Stoc12,790.8965034965034,0.02006674825174826,0.25,0.25,1.0,0.25
43,Stoc13,765.151048951049,0.019494937062937062,0.25,0.25,1.0,0.5
44,Stoc14,730.45,0.01960951748251746,0.25,0.25,1.0,0.75
45,Stoc15,761.4195804195804,0.020620681818181802,0.25,0.25,1.0,1.0
46,Stoc16,818.4867132867133,0.021107332167832185,0.25,0.5,0.25,0.25
47,Stoc17,806.4520979020979,0.02061940734265736,0.25,0.5,0.25,0.5
