,id,tn_score,tn_time,p_c,p_d
0,AllC,500.04692307692306,0.011955176923076911,,
1,AllD,811.2969230769231,0.02132900769230768,,
2,TitForTat,697.4023076923077,0.01422688846153846,,
3,RandomAgent,618.8438461538461,0.02192912307692308,,
4,Davis,807.2069230769231,0.01655971153846154,,
5,Shubik,810.2030769230769,0.014598107692307691,,
6,SteinAndRapoport,680.113076923077,0.06757871153846158,,
7,Grudger,855.2069230769231,0.014819438461538445,,
8,Nydegger,481.52076923076925,0.022596015384615364,,
9,Grofman,633.4623076923077,0.014495861538461536,,
10,Downing,750.2638461538462,0.0354191,,
11,Feld,745.7,0.024419276923076917,,
12,Joss,616.7876923076923,0.020034350000000006,,
13,Pavlov,664.8676923076923,0.012218957692307691,,
14,OmegaTFT,828.9353846153846,0.017499996153846148,,
15,TFTT,590.49,0.01347683076923077,,
16,TTFT,732.2815384615385,0.013880780769230761,,
17,GradualTFT,818.22,0.1418522,,
18,GenerousTFT,647.55,0.014111642307692308,,
19,TidemanAndChieruzzi,727.4892307692307,0.019772946153846154,,
20,Champion,653.6446153846153,0.2677584538461539,,
21,Borufsen,762.9353846153846,0.018427042307692307,,
22,Leyvraz,655.7338461538461,0.2523793076923076,,
23,Harrington,748.9884615384616,0.032538188461538456,,
24,White,694.8523076923077,0.023050050000000006,,
25,SecondByBlackK83R,616.7923076923076,0.02212672692307694,,
26,TidemanAndChieruzzi2,711.7092307692308,0.019442288461538462,,
27,GraaskampAndKatzen,836.6753846153846,0.013822911538461534,,
28,Weiner,745.8607692307693,0.05752523461538463,,
29,Tullock,735.2253846153847,0.026384480769230754,,
30,Stoc0,519.2738461538462,0.020584542307692282,0.47834798956887203,0.9575989512929547
31,Stoc1,754.4038461538462,0.02504220769230769,0.15856596056019567,0.09260974334540895
32,Stoc2,706.2146153846154,0.023523169230769247,0.25874958171786944,0.30497957376860396
33,Stoc3,737.3353846153847,0.02553081538461539,0.003312108329461272,0.673587867673299
34,Stoc4,544.2930769230769,0.020988307692307674,0.7565812624545397,0.46946123174877474
35,Stoc5,633.1946153846154,0.02275368846153846,0.06899725362431997,0.8610048537002973
36,Stoc6,630.1207692307693,0.02266158461538461,0.627519196968981,0.3900223093831573
37,Stoc7,680.7623076923077,0.024892149999999995,0.22364735529578483,0.34971629200921517
38,Stoc8,550.55,0.01976918846153845,0.7583396902107598,0.7395709430532342
39,Stoc9,691.8,0.025115480769230758,0.20217348290835457,0.3197577644820374
40,Stoc10,645.8361538461538,0.023300092307692314,0.2988324840353387,0.1546205898917511
41,Stoc11,791.3538461538461,0.024196319230769227,0.026136146450533526,0.1634287396251315
42,Stoc12,747.2046153846154,0.025376992307692307,0.05267317549035444,0.07755129521549853
43,Stoc13,645.0661538461538,0.02125776153846153,0.2915797654428822,0.42910648709025245
44,Stoc14,608.7269230769231,0.021380626923076924,0.6379562634849124,0.5139572207394456
45,Stoc15,581.3784615384616,0.021099892307692318,0.6378942632096583,0.5388301182178494
46,Stoc16,609.8330769230769,0.01990377692307691,0.7273127814738221,0.5232308827454561
47,Stoc17,628.7776923076923,0.018169088461538467,0.9638238344613758,0.253691405500279
48,Stoc18,758.0376923076923,0.02390787307692307,0.013708538678532611,0.34919877946711275
49,Stoc19,743.2261538461538,0.02264618461538461,0.09515999172232226,0.48558417914053753
50,Stoc20,730.8515384615384,0.027238492307692312,0.18234072172810833,0.12387171775059513
51,Stoc21,658.3484615384615,0.02722678076923075,0.6140006535813999,0.032000056023056445
52,Stoc22,698.7215384615384,0.022403719230769226,0.04981079785013198,0.5630591451386918
53,Stoc23,566.9115384615385,0.02064434230769231,0.4889632141936495,0.6848612409281196
54,Stoc24,597.2792307692308,0.018886465384615383,0.7584671219125824,0.5117604011735802
55,Stoc25,590.2815384615385,0.019003934615384615,0.4306992552994662,0.6545941485975825
56,Stoc26,596.9476923076924,0.018423215384615377,0.9130981656827776,0.28175424160956997
57,Stoc27,504.05692307692306,0.01789250384615386,0.8631617195408141,0.8321789688311167
58,Stoc28,589.34,0.018242865384615378,0.8974378586313578,0.27140294616511973
59,Stoc29,566.6923076923077,0.018813630769230778,0.7869956578668994,0.5714970864536969
60,Stoc30,613.8761538461539,0.018853742307692288,0.7920557472432379,0.2951397032109552
61,Stoc31,697.9630769230769,0.021475446153846153,0.5737481083469779,0.2658099432689697
62,Stoc32,755.9353846153846,0.02545028846153845,0.06667721279362959,0.25391945261823357
63,Stoc33,630.9515384615385,0.021621984615384594,0.2946926081178569,0.5552054623460305
64,Stoc34,629.2715384615385,0.023704376923076927,0.14536908630752954,0.6475282968599074
65,Stoc35,633.1253846153846,0.021736676923076924,0.5501381601184883,0.45626142218702803
66,Stoc36,583.5907692307692,0.022682911538461546,0.07211066518838138,0.9535527103108972
67,Stoc37,657.9630769230769,0.02754225769230768,0.5068270748477117,0.02335981803051701
68,Stoc38,632.1023076923077,0.023180684615384597,0.9112715961381047,0.0214273995126818
69,Stoc39,583.7369230769231,0.018088634615384628,0.9929672722522263,0.28674458533527847
70,Stoc40,592.7815384615385,0.020545861538461545,0.8319672889569372,0.5902813231384277
71,Stoc41,610.2746153846153,0.024023049999999997,0.3072291399472331,0.42154293056531944
72,Stoc42,580.4492307692308,0.020296046153846132,0.9728949234220515,0.6104215370240977
73,Stoc43,649.2492307692307,0.024265457692307695,0.12952081663470383,0.8701813756457154
74,Stoc44,592.8792307692307,0.0237090423076923,0.4076799323725544,0.7851469723711889
75,Stoc45,592.7846153846153,0.01978473461538461,0.5816590349267049,0.5030715996950567
