Unnamed: 0,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
50,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.01,0.95,250,0.901068,0.098932,1.927198157032181,2.295904,573976.0,176024.0,25,709.0025806451613,84.07066199999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
51,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.01,0.99,250,0.89886,0.10114,1.922329508048959,2.289988,572497.0,177503.0,23,715.888064516129,84.926355,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
52,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.1,0.95,250,0.900368,0.099632,1.9229364757202343,2.291348,572837.0,177163.0,24,724.1070967741936,85.22998199999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
53,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",2,16,0.2,0.0,0.1,0.99,250,0.900764,0.099236,1.9224767680590604,2.290248,572562.0,177438.0,25,708.9861290322581,85.154221,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
54,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.001,0.95,250,0.066392,0.933608,0.4976844318120642,1.5886,397150.0,352850.0,30,438.4606451612903,133.61408300000005,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
55,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.001,0.99,250,0.112888,0.887112,0.5365772312909577,1.56538,391345.0,358655.0,31,435.7732258064516,117.13149500000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
56,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.01,0.95,250,0.97476,0.02524,1.5772810364672931,2.47948,619870.0,130130.0,22,746.1716129032258,88.93554,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
57,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.01,0.99,250,0.963712,0.036288,2.0661085265819605,2.476248,619062.0,130938.0,23,741.7354838709678,88.97486500000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
58,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.1,0.95,250,0.430844,0.569156,0.7096194991622944,1.948292,487073.0,262927.0,28,455.97483870967744,118.52389699999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
59,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.1,0.99,250,0.975588,0.024412,2.074023741001807,2.482788,620697.0,129303.0,22,743.521935483871,88.41273700000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
60,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.1,0.0,0.001,0.95,250,0.091728,0.908272,0.776031372294916,1.58424,396060.0,353940.0,31,427.3722580645161,115.47192099999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
61,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.1,0.0,0.001,0.99,250,0.105648,0.894352,1.0277751843971994,1.499464,374866.0,375134.0,30,442.2945161290323,111.788347,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
62,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.1,0.0,0.01,0.95,250,0.103572,0.896428,0.4881595351482381,1.576696,394174.0,355826.0,31,439.0832258064516,121.09051799999996,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
63,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.1,0.0,0.01,0.99,250,0.94996,0.05004,1.995968,2.38448,596120.0,153880.0,23,717.5496774193548,85.45509300000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
64,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.1,0.0,0.1,0.95,250,0.162468,0.837532,0.5464251782925683,1.592756,398189.0,351811.0,29,436.4706451612904,114.65387599999995,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
65,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.1,0.0,0.1,0.99,250,0.949284,0.050716,1.9982943101648611,2.387408,596852.0,153148.0,24,721.8648387096774,85.440133,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
66,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.001,0.95,250,0.129232,0.870768,0.5688711821859759,1.578036,394509.0,355491.0,30,449.301935483871,113.03487399999996,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
67,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.001,0.99,250,0.222436,0.777564,0.9473068607081848,1.622744,405686.0,344314.0,31,422.6058064516129,113.91694800000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
68,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.01,0.95,250,0.8871,0.1129,1.912359389723809,2.282076,570519.0,179481.0,24,731.0767741935484,87.01209800000001,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
69,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.01,0.99,250,0.823524,0.176476,1.8285680256315,2.2041,551025.0,198975.0,17,748.4312903225806,90.46390499999995,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
70,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.1,0.95,250,0.900616,0.099384,1.9225459039706492,2.290764,572691.0,177309.0,22,746.2751612903226,89.39001599999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
71,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.1,0.99,250,0.899228,0.100772,1.9208878729712424,2.287996,571999.0,178001.0,22,738.9416129032259,86.51590700000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
72,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.001,0.95,250,0.03368,0.96632,0.8902430686675715,1.549948,387487.0,362513.0,28,451.52032258064514,116.50264999999996,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
73,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.001,0.99,250,0.975004,0.024996,2.079912,2.489592,622398.0,127602.0,21,740.43,89.63781299999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
74,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.01,0.95,250,0.160936,0.839064,0.3837570917203531,1.647608,411902.0,338098.0,28,447.47967741935486,119.927331,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
75,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.01,0.99,250,0.9558,0.0442,2.050908409863966,2.459772,614943.0,135057.0,25,730.8358064516129,87.12744400000001,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
76,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.1,0.95,250,0.975036,0.024964,2.0677901798522536,2.475592,618898.0,131102.0,22,735.5593548387096,88.036471,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
77,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.1,0.99,250,0.975116,0.024884,2.0655365805920534,2.47218,618045.0,131955.0,18,752.3012903225806,88.153107,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
78,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.1,0.0,0.001,0.95,250,0.057472,0.942528,0.5966073276642713,1.568872,392218.0,357782.0,31,446.3690322580645,110.173099,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
79,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.1,0.0,0.001,0.99,250,0.820212,0.179788,1.8665562904443864,2.268376,567094.0,182906.0,23,728.6574193548387,86.771434,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
80,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.1,0.0,0.01,0.95,250,0.049444,0.950556,1.0547306619878951,1.561484,390371.0,359629.0,30,445.1083870967742,110.96144800000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
81,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.1,0.0,0.01,0.99,250,0.266456,0.733544,0.6902493785193241,1.724024,431006.0,318994.0,17,748.5667741935484,89.06041799999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
82,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.1,0.0,0.1,0.95,250,0.945596,0.054404,1.995186529935766,2.385012,596253.0,153747.0,24,731.0941935483871,86.335261,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
83,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.1,0.0,0.1,0.99,250,0.950664,0.049336,2.003986978984222,2.394252,598563.0,151437.0,24,722.7406451612903,84.37809100000001,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
84,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.001,0.95,250,0.135616,0.864384,0.5518810857239765,1.587764,396941.0,353059.0,28,453.82193548387096,111.81039100000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
85,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.001,0.99,250,0.184588,0.815412,0.7202786685075035,1.590176,397544.0,352456.0,26,460.5206451612903,117.07666200000004,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
86,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.01,0.95,250,0.894188,0.105812,1.9164504790315813,2.28466,571165.0,178835.0,18,747.8032258064516,88.05737800000001,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
87,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.01,0.99,250,0.27944,0.72056,0.7097527549215408,1.666892,416723.0,333277.0,31,420.84806451612906,106.95860399999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
88,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.1,0.95,250,0.899032,0.100968,1.9202414265761376,2.287856,571964.0,178036.0,16,763.7303225806452,88.57989599999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
89,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.1,0.99,250,0.899232,0.100768,1.916393439574875,2.282788,570697.0,179303.0,24,730.1458064516129,87.86658800000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
90,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.001,0.95,250,0.134072,0.865928,0.4881678766167872,1.651224,412806.0,337194.0,26,472.28806451612905,109.24383399999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
91,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.001,0.99,250,0.107212,0.892788,0.9095615742347828,1.584956,396239.0,353761.0,28,443.2974193548387,115.134232,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
92,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.01,0.95,250,0.974972,0.025028,2.069278285747528,2.476876,619219.0,130781.0,25,721.2658064516129,84.24722900000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
93,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.01,0.99,250,0.960132,0.039868,2.045780733078766,2.452316,613079.0,136921.0,24,727.9858064516129,86.78861399999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
94,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.1,0.95,250,0.974444,0.025556,2.0733223735615205,2.482068,620517.0,129483.0,24,716.0922580645162,116.427485,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
95,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.1,0.99,250,0.974996,0.025004,2.0702880716795447,2.477976,619494.0,130506.0,11,772.1254838709677,130.60492800000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
96,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.1,0.0,0.001,0.95,250,0.105392,0.894608,0.498842285775963,1.600336,400084.0,349916.0,27,468.8458064516129,112.606366,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
97,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.1,0.0,0.001,0.99,250,0.18548,0.81452,0.6781771876527108,1.667256,416814.0,333186.0,30,437.56935483870967,110.224839,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
98,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.1,0.0,0.01,0.95,250,0.949016,0.050984,1.9916142220353985,2.378872,594718.0,155282.0,22,743.3187096774194,86.537516,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
99,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.1,0.0,0.01,0.99,250,0.949912,0.050088,2.006922069189693,2.397452,599363.0,150637.0,20,742.35,85.50318899999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
100,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.1,0.0,0.1,0.95,250,0.950428,0.049572,2.000338894082069,2.389636,597409.0,152591.0,25,717.6058064516129,84.20011800000005,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
101,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.1,0.0,0.1,0.99,250,0.950052,0.049948,1.9947750613285655,2.383296,595824.0,154176.0,25,706.7051612903226,82.98983699999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
102,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.001,0.95,250,0.136944,0.863056,0.508241362551545,1.574736,393684.0,356316.0,30,438.1348387096774,116.312462,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
103,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.001,0.99,250,0.194928,0.805072,0.7271051792244378,1.612332,403083.0,346917.0,31,439.1764516129032,111.671497,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
104,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.01,0.95,250,0.899248,0.100752,1.921768766108381,2.289972,572493.0,177507.0,17,762.2293548387097,87.909092,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
105,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.01,0.99,250,0.900152,0.099848,1.920379560845516,2.288164,572041.0,177959.0,16,744.804193548387,91.07636999999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
106,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.1,0.95,250,0.17714,0.82286,0.5858932430322011,1.575412,393853.0,356147.0,27,459.5825806451613,119.47991700000004,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
107,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.2,0.0,0.1,0.99,250,0.90048,0.09952,1.923740006475123,2.29204,573010.0,176990.0,23,733.3983870967742,86.34258400000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
