,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,2,0.2,0.0,0.05,0.01,0.95,2500,0.270508,0.729492,,1.272326,636163.0,863837.0,2,257.11,0.50393,SecondByWeiner
1,,4,0.2,0.0,0.05,0.01,0.95,2500,0.171136,0.828864,,1.015098,507549.0,992451.0,2,475.1,0.717937,SecondByWeiner
