,id,tn_score,tn_time
0,SteinAndRapoport,685.806076923077,18.983577307692308
1,TidemanAndChieruzzi,684.8635384615385,10.38969203846154
2,TitForTat,679.8045384615384,8.809152884615383
3,Grofman,657.7633076923076,9.109000346153847
4,Davis,651.3305384615385,11.584499884615383
5,Shubik,647.2369615384615,9.249384923076924
6,Nydegger,643.4841538461538,10.985961653846154
7,Graaskamp,566.9277692307693,91.50980861538463
8,Tullock,484.97742307692306,9.595383499999999
9,Feld,459.16138461538463,9.610960923076924
10,Downing,449.43176923076925,10.867499615384617
11,Joss,422.08853846153846,9.445538346153846
12,RandomAgent,419.95215384615386,9.396385346153847
