,id,tn_score,tn_time
0,GraaskampAndKatzen,869.4783461538461,4.240961615384615
1,Cave,867.1602692307692,7.219653769230768
2,Borufsen,865.1671923076923,4.383577038461539
3,Weiner,864.181,11.53454373076923
4,White,849.8501153846154,4.075730500000001
5,Leyvraz,847.5994230769231,8.127269192307692
6,TitForTat,844.1906923076923,3.2717302692307686
7,Champion,841.3755,7.276616884615385
8,Black,835.6652307692308,5.311653769230771
9,Harrington,834.9809230769231,6.873961461538461
10,TidemanAndChieruzzi2,832.1889615384615,4.993000153846154
11,Adams,826.8693076923076,6.878461653846154
12,RandomAgent,508.549,10.654849192307692
