,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.1,0.95,0.195311,0.804689,,1.192549,2385098.0,3614902.0,2,298.995,0.178977,SecondByGraaskampKatzen
1,,1,0.2,0.0,0.05,0.1,0.95,0.140329,0.859671,,0.9415975,1883195.0,4116805.0,2,267.605,0.168,SecondByGraaskampKatzen
2,,2,0.1,0.0,0.05,0.1,0.95,0.541033,0.458967,,1.8975085,3795017.0,2204983.0,2,281.83,0.17101200000000003,SecondByGraaskampKatzen
3,,2,0.2,0.0,0.05,0.1,0.95,0.310404,0.689596,,1.2302995,2460599.0,3539401.0,2,273.505,0.169037,SecondByGraaskampKatzen
4,,4,0.1,0.0,0.05,0.1,0.95,0.4719645,0.5280355,,1.7381815,3476363.0,2523637.0,2,252.48,0.161961,SecondByGraaskampKatzen
5,,4,0.2,0.0,0.05,0.1,0.95,0.3251705,0.6748295,,1.2727845,2545569.0,3454431.0,2,333.635,0.21004499999999998,SecondByGraaskampKatzen
6,,8,0.1,0.0,0.05,0.1,0.95,0.5427595,0.4572405,,1.5826855,3165371.0,2834629.0,2,312.675,0.25000500000000003,SecondByGraaskampKatzen
7,,8,0.2,0.0,0.05,0.1,0.95,0.3461025,0.6538975,,1.21115,2422300.0,3577700.0,2,324.005,0.22090900000000002,SecondByGraaskampKatzen
