,id,tn_score,tn_time
0,SteinAndRapoport,692.7106923076923,128.96027299999997
1,TidemanAndChieruzzi,689.409123076923,68.14151361538461
2,TitForTat,677.5088692307693,58.93582742307691
3,Grofman,666.1392923076924,64.0758076153846
4,Davis,653.6922615384616,75.10804688461539
5,Shubik,650.3814307692307,65.0176150769231
6,Nydegger,641.9273307692308,71.44354192307694
7,Graaskamp,568.8526230769231,567.7735903846153
8,Tullock,479.50726153846153,56.66242603846154
9,Downing,455.9966230769231,66.75811823076923
10,Feld,455.98095384615385,58.74576984615385
11,RandomAgent,420.39494615384615,55.772347961538465
12,Joss,418.8532230769231,56.140270538461536
