,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
35,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,435.06935483870967,8.948483,31.0,0.41368,95715.0,1704285.0,0.58632,,2.840475
36,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,703.5177419354839,2.0685200000000004,25.0,0.6309383333333334,165008.0,1634992.0,0.3690616666666667,,2.7249866666666667
37,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,716.5209677419355,1.200003,24.0,0.8127616666666667,102291.0,1697709.0,0.1872383333333333,,2.829515
38,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,724.5177419354839,1.2326510000000002,23.0,0.89936,47932.0,1752068.0,0.10064,,2.920113333333333
39,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,672.0145161290322,1.270663,25.0,0.3668183333333333,584973.0,1215027.0,0.6331816666666666,,2.025045
40,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,750.45,0.8018150000000004,16.0,0.7719616666666667,149993.0,1650007.0,0.2280383333333333,,2.7500116666666665
41,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,699.5048387096774,0.907825,24.0,0.87502,96797.0,1703203.0,0.12498,,2.8386716666666665
42,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,742.0532258064516,0.7980880000000004,20.0,0.8812783333333334,52168.0,1747832.0,0.1187216666666666,,2.913053333333333
43,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,718.1241935483871,0.803012,24.0,0.90051,-17375.0,1217375.0,0.09949,,3.0434375
44,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,511.9016129032258,3.694063,25.0,0.7077525,39035.0,1160965.0,0.2922475,,2.9024125
45,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,706.1241935483871,0.7920570000000001,24.0,0.608375,-93647.0,1293647.0,0.391625,,3.2341175
46,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,481.9193548387097,3.8542270000000007,27.0,0.6085725,-94075.0,1294075.0,0.3914275,,3.2351875
47,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,743.2951612903225,0.7421340000000001,19.0,0.774925,33167.0,1166833.0,0.225075,,2.9170825
48,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,748.5548387096774,0.7441679999999998,22.0,0.764085,63939.0,1136061.0,0.235915,,2.8401525
49,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,455.3822580645161,2.764224,28.0,0.515315,-103476.0,1303476.0,0.484685,,3.25869
50,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,436.7467741935484,2.684621,30.0,0.7236075,-84746.0,1284746.0,0.2763925,,3.211865
51,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,715.9629032258065,1.28,23.0,0.81095,66431.0,1733569.0,0.18905,,2.8892816666666667
52,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,460.7951612903226,4.869097,27.0,0.1494983333333333,-37153.0,1837153.0,0.8505016666666667,,3.0619216666666667
53,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,726.5677419354839,0.909049,23.0,0.512415,-39618.0,1839618.0,0.487585,,3.06603
54,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,442.7870967741936,4.594309000000001,29.0,0.5155683333333333,-34465.0,1834465.0,0.4844316666666666,,3.0574416666666666
55,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,711.8290322580646,0.7326090000000002,22.0,0.5897883333333334,82314.0,1717686.0,0.4102116666666666,,2.86281
56,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,681.4854838709678,0.723002,25.0,0.5513766666666666,176901.0,1623099.0,0.4486233333333333,,2.705165
57,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,683.1435483870968,0.7771020000000003,25.0,0.5882233333333333,-83366.0,1883366.0,0.4117766666666667,,3.138943333333333
58,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,458.0709677419355,3.619613,26.0,0.4279533333333333,-106940.0,1906940.0,0.5720466666666667,,3.178233333333333
59,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,724.5887096774194,0.8182040000000004,22.0,0.6230166666666667,171901.0,1628099.0,0.3769833333333333,,2.7134983333333333
60,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,749.1903225806452,0.7547210000000003,14.0,0.8301,137459.0,1662541.0,0.1699,,2.7709016666666666
61,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,712.1290322580645,0.7241450000000001,22.0,0.897145,48739.0,1751261.0,0.102855,,2.9187683333333334
62,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,691.2306451612903,0.7120500000000003,24.0,0.899625,46764.0,1753236.0,0.100375,,2.92206
63,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,724.2725806451613,0.8560359999999998,24.0,0.899235,48749.0,1751251.0,0.100765,,2.918751666666666
64,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,720.6983870967742,0.7180960000000001,23.0,0.4059866666666666,469784.0,1330216.0,0.5940133333333333,,2.2170266666666665
65,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,724.1822580645161,0.838621,22.0,0.892845,54014.0,1745986.0,0.107155,,2.9099766666666667
66,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,683.2854838709677,0.7140029999999999,24.0,0.8806483333333334,62780.0,1737220.0,0.1193516666666666,,2.895366666666667
67,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,720.4209677419354,0.776946,23.0,0.782295,261386.0,2138614.0,0.217705,,2.6732675
68,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,725.9483870967742,0.7590580000000001,22.0,0.89700875,114454.0,2285546.0,0.10299125,,2.8569325
69,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,767.858064516129,0.8510020000000001,12.0,0.86674375,102622.0,2297378.0,0.13325625,,2.8717225
70,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,685.3629032258065,0.7023539999999999,24.0,0.8494825,91641.0,2308359.0,0.1505175,,2.88544875
71,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,453.85483870967744,3.5862829999999986,29.0,0.27464125,535489.0,1864511.0,0.72535875,,2.33063875
72,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,760.075806451613,0.793522,13.0,0.82861125,221088.0,2178912.0,0.17138875,,2.72364
73,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,475.8983870967742,3.401502,25.0,0.48538375,125307.0,2274693.0,0.51461625,,2.84336625
74,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,444.9354838709677,3.367633,29.0,0.4682625,90445.0,2309555.0,0.5317375,,2.88694375
75,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,716.2322580645161,0.748004,23.0,0.8974425,-15413.0,1215413.0,0.1025575,,3.0385325
76,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,752.8741935483871,0.8331560000000001,17.0,0.900655,-17443.0,1217443.0,0.099345,,3.0436075
77,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,422.3016129032258,2.909444,31.0,0.60883,-92466.0,1292466.0,0.39117,,3.231165
78,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,694.508064516129,1.2455819999999995,25.0,0.6022475,-96518.0,1296518.0,0.3977525,,3.241295
79,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,707.1774193548387,1.3339960000000002,22.0,0.6458225,-120348.0,1320348.0,0.3541775,,3.30087
80,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,681.308064516129,2.3039940000000003,25.0,0.76782,59016.0,1140984.0,0.23218,,2.85246
81,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,440.4354838709677,2.913864,29.0,0.677245,-97962.0,1297962.0,0.322755,,3.244905
82,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,741.9709677419355,0.806622,19.0,0.6937375,-72432.0,1272432.0,0.3062625,,3.18108
83,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,756.8596774193549,0.8870850000000002,17.0,0.5446666666666666,531257.0,1268743.0,0.4553333333333333,,2.1145716666666665
84,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,713.6209677419355,1.0765749999999998,23.0,0.5287316666666667,535405.0,1264595.0,0.4712683333333333,,2.107658333333333
85,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,729.6145161290323,1.2979560000000003,21.0,0.8041016666666667,531306.0,1268694.0,0.1958983333333333,,2.11449
86,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,765.191935483871,2.1228259999999994,12.0,0.8362766666666667,534139.0,1265861.0,0.1637233333333333,,2.109768333333333
87,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,682.9451612903226,0.9935839999999998,25.0,0.6104216666666666,528310.0,1271690.0,0.3895783333333333,,2.119483333333333
