,id,tn_score,tn_time
0,SteinAndRapoport,704.1064928571428,134.47760917857144
1,TidemanAndChieruzzi,700.1351571428571,69.66854139285715
2,TitForTat,694.1603714285715,58.63597914285714
3,Grofman,677.7713857142858,64.66883328571429
4,Davis,664.3916571428572,77.32503607142858
5,Shubik,663.8412142857143,64.150958
6,Friedman,661.3239142857143,54.99524789285715
7,Nydegger,659.8898571428572,72.99795285714285
8,Graaskamp,551.9015857142857,630.2457507142859
9,Tullock,465.96137142857145,63.537268857142855
10,Downing,441.9669928571429,72.67467710714286
11,Feld,441.0927142857143,62.23263864285715
12,Joss,410.1088357142857,63.22242971428572
13,RandomAgent,399.95394285714286,62.19364707142857
