,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.1,0.95,0.060322,0.939678,,0.9749615,1949923.0,4050077.0,2,226.045,0.135997,Grudger
1,,1,0.2,0.0,0.05,0.1,0.95,0.1112665,0.8887335,,0.922166,1844332.0,4155668.0,2,300.715,0.186073,Grudger
2,,2,0.1,0.0,0.05,0.1,0.95,0.062331,0.937669,,0.973971,1947942.0,4052058.0,2,275.57,0.177069,Grudger
3,,2,0.2,0.0,0.05,0.1,0.95,0.1057815,0.8942185,,0.922131,1844262.0,4155738.0,2,311.73,0.195987,Grudger
4,,4,0.1,0.0,0.05,0.1,0.95,0.0741845,0.9258155,,0.9628795,1925759.0,4074241.0,2,281.13,0.17791500000000002,Grudger
5,,4,0.2,0.0,0.05,0.1,0.95,0.114094,0.885906,,0.917174,1834348.0,4165652.0,2,261.55,0.162999,Grudger
6,,8,0.1,0.0,0.05,0.1,0.95,0.254586,0.745414,,0.8199345,1639869.0,4360131.0,2,301.12,0.207006,Grudger
7,,8,0.2,0.0,0.05,0.1,0.95,0.143601,0.856399,,0.8856945,1771389.0,4228611.0,2,304.71,0.213949,Grudger
