,id,tn_score,tn_time
0,Cave,865.9124846153846,46.67248188461538
1,Weiner,864.7270153846154,73.86038607692306
2,GraaskampAndKatzen,863.2671538461539,27.838481615384616
3,Borufsen,858.9340307692307,27.26023273076923
4,White,850.6290846153846,25.948693615384613
5,Champion,850.3279846153846,43.619930730769234
6,Leyvraz,848.9147769230769,52.51132788461538
7,TitForTat,848.7328230769231,19.72784726923077
8,Black,842.4103153846154,35.66355784615384
9,Adams,834.3949461538461,45.49494276923077
10,TidemanAndChieruzzi2,828.0502384615385,32.81167342307692
11,Harrington,806.5046384615384,46.07636561538462
12,RandomAgent,532.5738307692308,62.849329
