,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.1,0.95,0.078024,0.921976,,1.154321,2308642.0,3691358.0,1,346.375,0.218072,Tullock
1,,1,0.2,0.0,0.05,0.1,0.95,0.134412,0.865588,,1.092759,2185518.0,3814482.0,1,317.4,0.189992,Tullock
2,,2,0.1,0.0,0.05,0.1,0.95,0.0883365,0.9116635,,1.141962,2283924.0,3716076.0,1,313.435,0.193984,Tullock
3,,2,0.2,0.0,0.05,0.1,0.95,0.1484175,0.8515825,,1.0780265,2156053.0,3843947.0,1,278.605,0.172,Tullock
4,,4,0.1,0.0,0.05,0.1,0.95,0.132589,0.867411,,1.078195,2156390.0,3843610.0,2,294.6,0.18499500000000002,Tullock
5,,4,0.2,0.0,0.05,0.1,0.95,0.1776575,0.8223425,,1.041796,2083592.0,3916408.0,2,536.38,0.286982,Tullock
6,,8,0.1,0.0,0.05,0.1,0.95,0.2098325,0.7901675,,0.9844375,1968875.0,4031125.0,1,350.59,0.23703599999999997,Tullock
7,,8,0.2,0.0,0.05,0.1,0.95,0.215044,0.784956,,0.984535,1969070.0,4030930.0,1,335.155,0.226983,Tullock
