,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
21,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.05,0.0,0.01,0.95,0.975625,0.024375,2.476375,2.96244,592488,7512,25,684.2935483870967,14.596838,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
22,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.2,0.0,0.001,0.95,0.89741,0.10259,2.3677021257449997,2.812325,562465,37535,25,668.0016129032258,14.214570000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
23,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.2,0.0,0.01,0.95,0.900475,0.099525,2.3790267743977904,2.824735,564947,35053,25,710.0774193548388,15.261819999999998,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
24,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.001,0.95,0.673535,0.326465,0.1232713159728768,2.316775,463355,136645,7,778.9032258064516,16.585378999999996,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
25,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.05,0.0,0.01,0.95,0.168325,0.831675,0.15691535844645507,1.33759,267518,332482,31,428.8274193548387,18.00236,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
26,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.001,0.95,0.25717,0.74283,0.9430773792796291,1.410615,282123,317877,26,505.86129032258066,17.126366000000008,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
27,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",4,4,0.2,0.0,0.01,0.95,0.900075,0.099925,2.3749596502059975,2.819735,563947,36053,25,698.4548387096775,14.553455,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
28,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.001,0.95,0.974355,0.025645,2.4751045715618067,2.960435,592087,7913,17,741.8193548387097,15.468828000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
29,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.05,0.0,0.01,0.95,0.97483,0.02517,1.3853852329015164,2.96071,592142,7858,25,691.6096774193549,14.415558,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
30,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.001,0.95,0.32624,0.67376,0.9853392764872819,1.44722,289444,310556,29,471.6758064516129,14.633620000000006,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
31,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",4,8,0.2,0.0,0.01,0.95,0.566235,0.433765,1.2768124286371745,1.719875,343975,256025,25,566.658064516129,15.170712000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
32,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.001,0.95,0.910165,0.089835,0.08801891266675144,2.81889,563778,36222,24,714.8451612903226,15.347394000000007,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
33,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",4,16,0.05,0.0,0.01,0.95,0.027485,0.972515,0.43587396560083796,1.06761,213522,386478,30,435.81129032258065,18.011712,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
