,id,tn_score,tn_time,p_c,p_d
0,AllC,493.19515384615386,0.12835260384615388,,
1,AllD,771.7308461538462,0.49913945384615377,,
2,TitForTat,673.3153076923077,0.13436683461538454,,
3,RandomAgent,609.3202307692308,0.33657281153846164,,
4,Davis,829.0333076923077,0.1812526076923077,,
5,Shubik,828.7855384615384,0.15447676923076922,,
6,SteinAndRapoport,701.6865384615385,0.7246592846153845,,
7,Grudger,865.2115384615385,0.14985659230769227,,
8,Nydegger,506.17284615384614,0.25919839615384627,,
9,Grofman,608.8122307692307,0.1579295846153847,,
10,Downing,777.886,0.5837301307692309,,
11,Feld,768.3603846153846,0.5102267615384617,,
12,Joss,628.3443846153846,0.5757983500000008,,
13,Pavlov,671.3915384615385,0.15443386153846153,,
14,OmegaTFT,827.5288461538462,0.20942882692307685,,
15,TFTT,622.7487692307692,0.1636228076923078,,
16,TTFT,722.5828461538462,0.17865673076923091,,
17,GradualTFT,846.7781538461538,15.57089244615385,,
18,GenerousTFT,623.9247692307692,0.16532921153846167,,
19,TidemanAndChieruzzi,739.4737692307692,0.2416545230769233,,
20,Champion,658.1278461538461,3.4483167692307686,,
21,Borufsen,751.6789230769231,0.20610969615384614,,
22,Leyvraz,634.6234615384616,3.207688753846153,,
23,Harrington,667.7555384615384,0.47437981923076894,,
24,White,669.8251538461539,0.25218605384615367,,
25,SecondByBlackK83R,622.4869230769231,0.25739184230769224,,
26,TidemanAndChieruzzi2,823.3133076923077,0.2461528423076922,,
27,GraaskampAndKatzen,821.2906923076923,0.17218616538461537,,
28,Weiner,731.531,0.6818728884615387,,
29,Tullock,764.0875384615384,0.563877288461538,,
30,Stoc0,513.7791538461538,0.24664812307692302,0.47834798956887203,0.9575989512929547
31,Stoc1,727.8584615384615,0.5500672153846157,0.15856596056019567,0.09260974334540895
32,Stoc2,689.0716923076923,0.48242256923076915,0.25874958171786944,0.30497957376860396
33,Stoc3,700.7216923076923,0.4003396615384616,0.003312108329461272,0.673587867673299
34,Stoc4,581.394,0.36994242307692315,0.7565812624545397,0.46946123174877474
35,Stoc5,633.704076923077,0.3082927692307693,0.06899725362431997,0.8610048537002973
36,Stoc6,609.0176923076923,0.41621457307692306,0.627519196968981,0.3900223093831573
37,Stoc7,686.2176923076923,0.43382564230769216,0.22364735529578483,0.34971629200921517
38,Stoc8,535.458,0.28222003846153854,0.7583396902107598,0.7395709430532342
39,Stoc9,701.7646923076923,0.3946809923076924,0.20217348290835457,0.3197577644820374
40,Stoc10,697.7976923076923,0.4747197692307693,0.2988324840353387,0.1546205898917511
41,Stoc11,763.1461538461539,0.6552736807692304,0.026136146450533526,0.1634287396251315
