,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
29,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,10.0,424.9629032258064,2.911038,31.0,0.442282,8257942.0,15742058.0,0.557718,,1.96775725
30,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.01,10.0,474.791935483871,3.181056999999999,27.0,0.499478875,6545602.0,17454398.0,0.500521125,,2.18179975
31,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.01,10.0,646.2467741935484,0.904072,25.0,0.577454875,6414050.0,17585950.0,0.422545125,,2.19824375
32,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.95,0.1,0.0,0.01,2.0,695.2887096774193,1.135487,24.0,0.9142408857142856,6645286.0,203354714.0,0.0857591142857142,,2.905067342857143
33,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.99,0.1,0.0,0.01,2.0,739.4693548387097,0.8610410000000001,20.0,0.8980588428571429,9187128.0,200812872.0,0.1019411571428571,,2.868755314285714
34,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.95,0.2,0.0,0.01,2.0,443.7983870967742,3.304084,27.0,0.8301292285714286,21586491.0,188413509.0,0.1698707714285714,,2.691621557142857
35,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.99,0.2,0.0,0.01,2.0,710.5806451612904,1.2214019999999997,23.0,0.8052471285714285,25008648.0,184991352.0,0.1947528714285714,,2.6427336
36,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.95,0.1,0.0,0.01,4.0,695.6903225806452,0.7510939999999999,25.0,0.6853851285714285,6689408.0,203310592.0,0.3146148714285714,,2.9044370285714285
37,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.99,0.1,0.0,0.01,4.0,425.3306451612903,3.6160009999999994,31.0,0.7065421428571429,19004224.0,190995776.0,0.2934578571428571,,2.7285110857142856
38,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen,OmegaTFT",0.05,0.95,0.2,0.0,0.01,4.0,726.0274193548387,0.9800269999999996,24.0,0.6337710571428572,25066784.0,184933216.0,0.3662289428571428,,2.6419030857142856
