,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
228,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,4.0,666.0645161290323,1.1376510000000002,25.0,0.64469,93094.0,506906.0,0.35531,,2.53453
229,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,4.0,431.5677419354839,3.720954,28.0,0.66346,124897.0,475103.0,0.33654,,2.375515
230,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,4.0,733.5403225806451,1.2502349999999995,22.0,0.67247,98939.0,501061.0,0.32753,,2.505305
231,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,4.0,467.14516129032256,3.882767,28.0,0.657765,80527.0,519473.0,0.342235,,2.597365
232,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,4.0,746.6709677419354,1.0890430000000002,21.0,0.633345,71291.0,528709.0,0.366655,,2.643545
233,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,4.0,658.9806451612903,1.1840740000000003,25.0,0.58817,117040.0,482960.0,0.41183,,2.4148
234,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,4.0,464.15,3.660598000000001,27.0,0.61289,133177.0,466823.0,0.38711,,2.334115
235,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,4.0,711.9564516129033,1.200712,25.0,0.48108,132286.0,467714.0,0.51892,,2.33857
236,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,4.0,699.1806451612903,1.145098,24.0,0.694385,91023.0,508977.0,0.305615,,2.544885
237,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,4.0,413.85967741935485,3.490288,30.0,0.635125,73099.0,526901.0,0.364875,,2.634505
238,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,4.0,725.5370967741935,0.999645,24.0,0.591755,66959.0,533041.0,0.408245,,2.665205
239,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,4.0,441.5274193548387,3.663867999999999,30.0,0.583625,146573.0,453427.0,0.416375,,2.267135
240,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,4.0,467.5725806451613,10.906482999999996,26.0,0.632525,109789.0,490211.0,0.367475,,2.451055
241,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,4.0,456.4322580645161,10.604300000000002,28.0,0.56963,147685.0,452315.0,0.43037,,2.261575
242,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,4.0,685.191935483871,2.387176,24.0,0.70985,85725.0,514275.0,0.29015,,2.571375
243,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,4.0,670.0209677419355,2.5050380000000003,25.0,0.667115,72373.0,527627.0,0.332885,,2.638135
244,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,4.0,659.2741935483871,2.221507000000001,25.0,0.573675,73082.0,526918.0,0.426325,,2.63459
245,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,6.0,723.7612903225806,2.256733,24.0,0.553175,143572.0,456428.0,0.446825,,2.28214
246,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,6.0,458.5548387096774,10.13095,28.0,0.556985,144096.0,455904.0,0.443015,,2.27952
247,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,6.0,470.5387096774194,9.987828000000002,28.0,0.62995,140737.0,459263.0,0.37005,,2.296315
248,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,6.0,795.3725806451613,2.5489530000000005,7.0,0.717485,69460.0,530540.0,0.282515,,2.6527
249,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,6.0,675.1806451612903,2.455792,25.0,0.69176,74914.0,525086.0,0.30824,,2.62543
250,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,6.0,469.3338709677419,9.96713,27.0,0.61585,83844.0,516156.0,0.38415,,2.58078
251,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,6.0,463.85,8.894972000000005,28.0,0.475705,132916.0,467084.0,0.524295,,2.33542
252,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,6.0,663.6532258064516,2.7249980000000003,25.0,0.565055,154451.0,445549.0,0.434945,,2.227745
253,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,6.0,762.8548387096774,2.8321110000000003,8.0,0.56756,117493.0,482507.0,0.43244,,2.412535
254,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,6.0,704.9403225806452,2.604219000000001,25.0,0.75466,81321.0,518679.0,0.24534,,2.593395
255,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,6.0,720.083870967742,2.769572000000001,22.0,0.71257,71156.0,528844.0,0.28743,,2.64422
256,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,6.0,451.958064516129,12.635651000000006,29.0,0.621135,61649.0,538351.0,0.378865,,2.691755
257,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,6.0,679.2693548387097,2.6935830000000003,25.0,0.68367,132506.0,467494.0,0.31633,,2.33747
258,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,6.0,446.1951612903226,8.308895999999997,29.0,0.58971,140268.0,459732.0,0.41029,,2.29866
259,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,6.0,441.9258064516129,11.103239,31.0,0.59213,137985.0,462015.0,0.40787,,2.310075
260,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,6.0,695.7306451612903,2.6844140000000007,25.0,0.701865,70147.0,529853.0,0.298135,,2.649265
261,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,6.0,463.5048387096774,15.214961000000004,27.0,0.69423,81667.0,518333.0,0.30577,,2.591665
262,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,6.0,460.233870967742,11.787399000000002,28.0,0.623335,72923.0,527077.0,0.376665,,2.635385
263,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,8.0,463.0258064516129,9.135354,29.0,0.632725,133835.0,466165.0,0.367275,,2.330825
264,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,8.0,444.13870967741934,11.746791999999996,28.0,0.629475,97944.0,502056.0,0.370525,,2.51028
265,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,8.0,693.6290322580645,2.853902,25.0,0.565035,126554.0,473446.0,0.434965,,2.36723
266,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,8.0,447.008064516129,14.771446000000005,29.0,0.71677,79466.0,520534.0,0.28323,,2.60267
267,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,8.0,686.0306451612903,2.820025000000001,25.0,0.74357,68458.0,531542.0,0.25643,,2.65771
268,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,8.0,446.68870967741935,7.372718,29.0,0.667805,76601.0,523399.0,0.332195,,2.616995
269,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,8.0,465.9322580645161,11.142694999999996,28.0,0.50688,129401.0,470599.0,0.49312,,2.352995
270,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,8.0,783.7596774193548,3.417897,13.0,0.502225,129839.0,470161.0,0.497775,,2.350805
271,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,8.0,743.7403225806452,2.799342,23.0,0.608985,129654.0,470346.0,0.391015,,2.35173
272,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,8.0,705.2935483870967,3.32803,24.0,0.745705,83932.0,516068.0,0.254295,,2.58034
273,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,8.0,738.4,3.0445879999999983,22.0,0.739,77489.0,522511.0,0.261,,2.612555
274,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,8.0,426.10483870967744,11.155019,29.0,0.705325,68983.0,531017.0,0.294675,,2.655085
275,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,8.0,418.2096774193548,9.481731000000003,31.0,0.696625,118520.0,481480.0,0.303375,,2.4074
276,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,8.0,444.0709677419355,9.987396000000002,30.0,0.68751,107280.0,492720.0,0.31249,,2.4636
277,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,8.0,707.4822580645161,2.488656,25.0,0.535405,126993.0,473007.0,0.464595,,2.365035
278,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,8.0,739.9693548387097,2.741638,17.0,0.696385,86690.0,513310.0,0.303615,,2.56655
279,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,8.0,684.7806451612903,2.534369,23.0,0.752075,75654.0,524346.0,0.247925,,2.62173
280,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,8.0,460.7774193548387,11.66733,28.0,0.723795,79284.0,520716.0,0.276205,,2.60358
281,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,10.0,725.4,2.7600479999999994,23.0,0.641285,133959.0,466041.0,0.358715,,2.330205
282,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,10.0,703.2596774193548,2.7799309999999986,25.0,0.644355,115512.0,484488.0,0.355645,,2.42244
283,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,10.0,453.9709677419355,11.683641999999995,29.0,0.63944,110993.0,489007.0,0.36056,,2.445035
284,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,10.0,697.4258064516129,2.8738539999999992,24.0,0.764515,87841.0,512159.0,0.235485,,2.560795
285,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,10.0,457.19193548387096,13.21514,28.0,0.74652,91863.0,508137.0,0.25348,,2.540685
286,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,10.0,694.8693548387097,3.0118009999999997,25.0,0.691655,93978.0,506022.0,0.308345,,2.53011
287,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,10.0,424.40967741935486,11.637277,29.0,0.64518,105505.0,494495.0,0.35482,,2.472475
288,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,10.0,446.25,11.009761,28.0,0.651805,119147.0,480853.0,0.348195,,2.404265
289,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,10.0,718.9983870967742,2.7473750000000003,24.0,0.619615,115245.0,484755.0,0.380385,,2.423775
290,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,10.0,697.4451612903226,2.707206,25.0,0.751335,95488.0,504512.0,0.248665,,2.52256
291,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,10.0,676.9048387096774,2.197022,25.0,0.747475,84392.0,515608.0,0.252525,,2.57804
292,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,10.0,478.8048387096774,5.447867,27.0,0.713885,90095.0,509905.0,0.286115,,2.549525
293,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,10.0,497.14516129032256,4.701129000000001,26.0,0.62523,117088.0,482912.0,0.37477,,2.41456
294,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,10.0,429.8790322580645,3.1071310000000008,31.0,0.65743,123673.0,476327.0,0.34257,,2.381635
295,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,10.0,436.208064516129,3.280079,30.0,0.628135,131386.0,468614.0,0.371865,,2.34307
296,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,10.0,735.2822580645161,1.036013,19.0,0.765745,87130.0,512870.0,0.234255,,2.56435
297,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,10.0,704.7451612903226,0.9143589999999996,23.0,0.727955,86648.0,513352.0,0.272045,,2.56676
298,TABULAR,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,10.0,724.4064516129032,1.047996,21.0,0.70309,82728.0,517272.0,0.29691,,2.58636
299,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.001,1.0,663.1870967741935,0.738659,25.0,0.901953,298605.0,5701395.0,0.098047,,2.8506975
300,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.001,1.0,722.2629032258064,0.7680429999999997,25.0,0.9492765,106491.0,5893509.0,0.0507235,,2.9467545
301,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.01,1.0,666.4935483870968,0.7494850000000001,25.0,0.95004,103356.0,5896644.0,0.04996,,2.948322
302,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.01,1.0,685.0629032258065,0.7690710000000002,25.0,0.9501185,103388.0,5896612.0,0.0498815,,2.948306
303,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.1,1.0,733.2516129032258,0.7523389999999996,23.0,0.949991,103409.0,5896591.0,0.050009,,2.9482955
304,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.1,1.0,702.7709677419355,0.809092,23.0,0.950052,103521.0,5896479.0,0.049948,,2.9482395
305,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.001,1.0,737.3274193548388,0.825324,18.0,0.789062,568052.0,5431948.0,0.210938,,2.715974
306,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.001,1.0,723.1145161290323,0.7570439999999997,22.0,0.900006,216841.0,5783159.0,0.099994,,2.8915795
307,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.01,1.0,702.7241935483871,0.7878999999999999,25.0,0.898537,223352.0,5776648.0,0.101463,,2.888324
308,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.01,1.0,729.2129032258065,0.7560410000000001,16.0,0.896908,229428.0,5770572.0,0.103092,,2.885286
309,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.1,1.0,701.6193548387097,0.7659750000000002,24.0,0.8998635,217053.0,5782947.0,0.1001365,,2.8914735
310,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.1,1.0,686.158064516129,0.765222,24.0,0.899822,217148.0,5782852.0,0.100178,,2.891426
311,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.001,2.0,715.6338709677419,0.748232,24.0,0.911292,260267.0,5739733.0,0.088708,,2.8698665
312,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.001,2.0,683.5145161290322,0.7179650000000003,25.0,0.877052,399828.0,5600172.0,0.122948,,2.800086
313,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.01,2.0,731.3661290322581,0.7641939999999998,23.0,0.9479305,107680.0,5892320.0,0.0520695,,2.94616
314,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.01,2.0,665.3290322580646,0.742801,24.0,0.949749,104003.0,5895997.0,0.050251,,2.9479985
315,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.1,2.0,754.1677419354838,0.8550119999999999,17.0,0.949942,103863.0,5896137.0,0.050058,,2.9480685
316,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.1,2.0,677.924193548387,0.6968320000000001,25.0,0.948451,109574.0,5890426.0,0.051549,,2.945213
317,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.001,2.0,694.3564516129032,0.7290170000000001,25.0,0.7143595,846244.0,5153756.0,0.2856405,,2.576878
318,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.001,2.0,747.0419354838709,0.8329619999999999,18.0,0.7808185,698689.0,5301311.0,0.2191815,,2.6506555
319,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.01,2.0,719.1064516129032,0.852973,20.0,0.892755,245264.0,5754736.0,0.107245,,2.877368
320,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.01,2.0,669.7112903225807,0.7640910000000003,25.0,0.8772485,307659.0,5692341.0,0.1227515,,2.8461705
321,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.1,2.0,733.2322580645161,1.1420560000000002,21.0,0.8995435,218542.0,5781458.0,0.1004565,,2.890729
322,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.1,2.0,691.1096774193549,0.7188150000000002,24.0,0.899186,220252.0,5779748.0,0.100814,,2.889874
323,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.001,4.0,432.27258064516127,3.002964,31.0,0.6892275,1132020.0,4867980.0,0.3107725,,2.43399
324,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.001,4.0,748.2854838709677,0.758913,23.0,0.614987,1388465.0,4611535.0,0.385013,,2.3057675
325,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.01,4.0,698.6306451612903,0.7790410000000001,25.0,0.936944,156271.0,5843729.0,0.063056,,2.9218645
326,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.01,4.0,645.6758064516129,0.7242969999999997,25.0,0.9307545,181706.0,5818294.0,0.0692455,,2.909147
327,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.1,4.0,678.7483870967742,0.676034,25.0,0.948028,111532.0,5888468.0,0.051972,,2.944234
328,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.1,4.0,684.408064516129,0.8070620000000002,24.0,0.946894,116502.0,5883498.0,0.053106,,2.941749
329,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.001,4.0,673.6177419354839,0.7092010000000003,24.0,0.7021615,1019922.0,4980078.0,0.2978385,,2.490039
330,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.001,4.0,434.69193548387096,3.315258,31.0,0.4358415,1965843.0,4034157.0,0.5641585,,2.0170785
331,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.01,4.0,680.3967741935484,0.7260340000000003,25.0,0.86577,336987.0,5663013.0,0.13423,,2.8315065
332,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.01,4.0,731.416129032258,0.8499479999999999,21.0,0.889742,253240.0,5746760.0,0.110258,,2.87338
333,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.1,4.0,738.1032258064516,0.8808240000000002,23.0,0.8973695,226638.0,5773362.0,0.1026305,,2.886681
334,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.1,4.0,745.0822580645162,0.7893129999999997,18.0,0.8902505,252293.0,5747707.0,0.1097495,,2.8738535
335,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.001,8.0,693.4612903225807,0.799088,24.0,0.632955,1263040.0,4736960.0,0.367045,,2.36848
336,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.001,8.0,689.0774193548388,0.7980310000000002,25.0,0.8174375,560528.0,5439472.0,0.1825625,,2.719736
337,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.01,8.0,695.8322580645162,0.8464900000000001,24.0,0.9240675,180675.0,5819325.0,0.0759325,,2.9096625
338,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.01,8.0,672.0193548387097,0.7440060000000001,25.0,0.9401125,138103.0,5861897.0,0.0598875,,2.9309485
339,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.1,8.0,730.7290322580645,0.8350099999999998,21.0,0.9437145,122609.0,5877391.0,0.0562855,,2.9386955
340,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.1,8.0,697.8790322580645,0.8159979999999998,23.0,0.940774,140193.0,5859807.0,0.059226,,2.9299035
341,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.001,8.0,726.3693548387097,0.8514540000000002,24.0,0.4212195,2048452.0,3951548.0,0.5787805,,1.975774
342,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.001,8.0,435.9322580645161,2.615861999999999,30.0,0.22976,2840281.0,3159719.0,0.77024,,1.5798595
343,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.01,8.0,708.2612903225806,0.846954,24.0,0.8155025,519180.0,5480820.0,0.1844975,,2.74041
344,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.01,8.0,725.1870967741935,0.8179759999999999,23.0,0.763198,728398.0,5271602.0,0.236802,,2.635801
345,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.1,8.0,650.9016129032258,0.7500720000000002,25.0,0.8804005,282900.0,5717100.0,0.1195995,,2.85855
346,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.1,8.0,827.2241935483871,0.934071,4.0,0.8777675,303650.0,5696350.0,0.1222325,,2.848175
347,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.001,10.0,457.38870967741934,3.487017,30.0,0.7184805,966231.0,5033769.0,0.2815195,,2.5168845
348,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.001,10.0,654.5645161290323,0.7310320000000001,25.0,0.866406,414969.0,5585031.0,0.133594,,2.7925155
349,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.01,10.0,707.9774193548387,0.7878319999999999,24.0,0.8968485,252418.0,5747582.0,0.1031515,,2.873791
350,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.01,10.0,734.7435483870968,0.8451789999999999,22.0,0.927004,179390.0,5820610.0,0.072996,,2.910305
351,TABULAR,TitForTat,0.05,0.95,0.1,0.0,0.1,10.0,700.4129032258064,0.8009700000000002,24.0,0.9414755,130897.0,5869103.0,0.0585245,,2.9345515
352,TABULAR,TitForTat,0.05,0.99,0.1,0.0,0.1,10.0,706.2806451612903,0.8170229999999998,22.0,0.936911,150170.0,5849830.0,0.063089,,2.924915
353,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.001,10.0,746.8161290322581,0.8244219999999998,19.0,0.45503,1974495.0,4025505.0,0.54497,,2.0127525
354,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.001,10.0,453.991935483871,3.427416999999999,29.0,0.316027,2513189.0,3486811.0,0.683973,,1.7434055
355,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.01,10.0,767.7693548387097,0.897084,18.0,0.70353,914421.0,5085579.0,0.29647,,2.5427895
356,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.01,10.0,728.2161290322581,0.8380569999999999,23.0,0.7651375,716721.0,5283279.0,0.2348625,,2.6416395
357,TABULAR,TitForTat,0.05,0.95,0.2,0.0,0.1,10.0,676.0032258064516,0.7980329999999998,25.0,0.8724255,303720.0,5696280.0,0.1275745,,2.84814
358,TABULAR,TitForTat,0.05,0.99,0.2,0.0,0.1,10.0,741.5854838709678,0.89804,17.0,0.8702215,326789.0,5673211.0,0.1297785,,2.8366055
359,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,1.0,708.7967741935483,0.861398,24.0,0.8773214285714286,192418.0,647582.0,0.1226785714285714,,2.312792857142857
360,TABULAR,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,1.0,745.416129032258,0.8451179999999999,19.0,0.8679928571428571,191395.0,648605.0,0.1320071428571428,,2.316446428571429
