,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.01,0.99,0.6736464285714285,0.3263535714285714,,2.0983714285714288,587544,252456,25,676.5774193548388,1.220324,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
1,,1,0.1,0.0,0.01,0.95,0.8681,0.1319,,2.288864285714286,640882,199118,21,734.6774193548387,1.3324,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
2,,1,0.2,0.0,0.01,0.99,0.7518714285714285,0.24812857142857142,,2.2065571428571427,617836,222164,24,684.8435483870968,1.6576320000000009,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
3,,1,0.2,0.0,0.01,0.95,0.8519321428571428,0.14806785714285714,,2.312560714285714,647517,192483,25,688.1790322580645,5.635898999999998,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
4,,1,0.01,0.0,0.01,0.99,0.8805285714285714,0.11947142857142858,,2.323242857142857,650508,189492,9,757.8645161290323,2.0868640000000003,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
5,,1,0.01,0.0,0.01,0.95,0.8579785714285715,0.14202142857142858,,2.2932714285714284,642116,197884,25,691.174193548387,0.716344,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
6,,2,0.1,0.0,0.01,0.99,0.7925821428571429,0.20741785714285715,,2.3317071428571428,652878,187122,22,744.8209677419355,0.8146219999999998,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
7,,2,0.1,0.0,0.01,0.95,0.6428071428571429,0.35719285714285715,,2.175607142857143,609170,230830,23,718.1532258064516,0.9326209999999998,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
8,,2,0.2,0.0,0.01,0.99,0.7660535714285714,0.23394642857142858,,2.2020714285714287,616580,223420,24,706.0935483870968,1.2170329999999996,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
9,,2,0.2,0.0,0.01,0.95,0.7617428571428572,0.23825714285714286,,2.259714285714286,632720,207280,25,704.8677419354839,0.811913,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
10,,2,0.01,0.0,0.01,0.99,0.75845,0.24155,,2.2949607142857142,642589,197411,24,688.7064516129033,0.735967,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
11,,2,0.01,0.0,0.01,0.95,0.7671392857142857,0.23286071428571428,,2.2643035714285715,634005,205995,23,722.6403225806451,0.891059,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
12,,4,0.1,0.0,0.01,0.99,0.5059107142857143,0.49408928571428573,,2.1563357142857145,603774,236226,29,442.1725806451613,4.015826999999999,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
13,,4,0.1,0.0,0.01,0.95,0.5857392857142857,0.41426071428571426,,2.1654178571428573,606317,233683,24,722.058064516129,0.922195,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
14,,4,0.2,0.0,0.01,0.99,0.6300571428571429,0.36994285714285713,,2.2407857142857144,627420,212580,28,448.7048387096774,2.940299,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
15,,4,0.2,0.0,0.01,0.95,0.506275,0.493725,,2.033782142857143,569459,270541,24,702.9290322580645,0.9629230000000003,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
16,,4,0.01,0.0,0.01,0.99,0.6435785714285714,0.35642142857142856,,2.143275,600117,239883,20,728.4048387096774,1.5282739999999992,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
17,,4,0.01,0.0,0.01,0.95,0.5042642857142857,0.4957357142857143,,2.1634607142857143,605769,234231,28,445.14193548387095,3.540019,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
18,,6,0.1,0.0,0.01,0.99,0.4936857142857143,0.5063142857142857,,2.0235,566580,273420,25,684.8887096774193,1.3885879999999995,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
19,,6,0.1,0.0,0.01,0.95,0.5834821428571428,0.41651785714285716,,2.2845178571428573,639665,200335,28,447.31612903225806,4.2544319999999995,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
20,,6,0.2,0.0,0.01,0.99,0.5535285714285715,0.4464714285714286,,2.1741964285714284,608775,231225,18,728.2451612903226,1.332991,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen"
