,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.1,0.95,0.94817525,0.05182475,,2.9421065,11768426.0,231574.0,2,754.1133333333333,0.42202799999999996,"TitForTat,OmegaTFT"
1,,1,0.2,0.0,0.05,0.1,0.95,0.8883235,0.1116765,,2.832538,11330152.0,669848.0,3,792.5466666666666,0.254072,"TitForTat,OmegaTFT"
2,,2,0.1,0.0,0.05,0.1,0.95,0.94569,0.05431,,2.934328,11737312.0,262688.0,1,995.0266666666666,0.342958,"TitForTat,OmegaTFT"
3,,2,0.2,0.0,0.05,0.1,0.95,0.87468725,0.12531275,,2.79543625,11181745.0,818255.0,2,906.36,0.354091,"TitForTat,OmegaTFT"
4,,4,0.1,0.0,0.05,0.1,0.95,0.9412465,0.0587535,,2.93034875,11721395.0,278605.0,3,880.9333333333333,0.325995,"TitForTat,OmegaTFT"
5,,4,0.2,0.0,0.05,0.1,0.95,0.8554725,0.1445275,,2.7869125,11147650.0,852350.0,1,952.1366666666667,0.381998,"TitForTat,OmegaTFT"
6,,8,0.1,0.0,0.05,0.1,0.95,0.93986975,0.06013025,,2.91391925,11655677.0,344323.0,2,867.9366666666666,0.311934,"TitForTat,OmegaTFT"
7,,8,0.2,0.0,0.05,0.1,0.95,0.84891125,0.15108875,,2.75927275,11037091.0,962909.0,3,309.43333333333334,0.343016,"TitForTat,OmegaTFT"
